idx,onset,start,time_frac,phase,depth,kind,first_bad_offset,decisive_period,clears
0,313358,11757,0.03751938677167967,30,71,pre_onset,71,0,0
0,313358,15538,0.04958545816605927,30,47,pre_onset,47,0,0
0,313358,26449,0.08440505747419884,0,71,pre_onset,71,0,0
0,313358,28939,0.09235124043426368,0,56,pre_onset,56,0,0
0,313358,34567,0.11031152866689219,103,99,pre_onset,99,0,0
0,313358,36426,0.11624404036277995,0,56,pre_onset,56,0,0
0,313358,40486,0.1292004671972632,103,45,pre_onset,45,0,0
0,313358,42636,0.13606162919089348,0,45,pre_onset,45,0,0
0,313358,44096,0.14072083687028894,0,77,pre_onset,77,0,0
0,313358,47451,0.15142744081848875,101,49,pre_onset,49,0,0
0,313358,59442,0.18969357731412634,24,48,pre_onset,48,0,0
0,313358,115204,0.3676433982856669,0,43,pre_onset,43,0,0
0,313358,146641,0.467966351585088,103,46,pre_onset,46,0,0
0,313358,151536,0.48358746226360905,0,99,pre_onset,99,0,0
0,313358,151684,0.4840597655078217,100,169,pre_onset,169,1,0
0,313358,163027,0.5202579796909605,0,45,pre_onset,45,0,0
0,313358,164882,0.5261777264343019,0,76,pre_onset,76,0,0
0,313358,164993,0.5265319538674615,99,82,pre_onset,82,0,0
0,313358,171646,0.5477632611900766,103,45,pre_onset,45,0,0
0,313358,206449,0.6588279220571998,0,43,pre_onset,43,0,0
0,313358,216215,0.6899935536989641,24,47,pre_onset,47,0,0
0,313358,273208,0.8718717888166251,25,45,pre_onset,45,0,0
0,313358,273511,0.8728387339720065,0,76,pre_onset,76,0,0
0,313358,273735,0.8735535713145987,0,70,pre_onset,70,0,0
0,313358,274682,0.8765756738299325,103,46,pre_onset,46,0,0
0,313358,276455,0.882233739046075,0,45,pre_onset,45,0,0
0,313358,285369,0.91068043579548,26,72,pre_onset,72,0,0
0,313358,287274,0.91675974444565,0,99,pre_onset,99,0,0
0,313358,293928,0.9379942430064017,0,45,pre_onset,45,0,0
0,313358,295245,0.9421971036322673,31,71,pre_onset,71,0,0
0,313358,299290,0.9551056618947019,24,77,pre_onset,77,0,0
0,313358,310377,0.9904869191148782,25,45,pre_onset,45,0,0
0,313358,311063,0.9926761084765667,0,76,pre_onset,76,0,0
0,313358,313222,0.9995659916134262,100,102,pre_onset,102,0,0
1,307906,912,0.0029619429306346743,0,61,pre_onset,61,0,0
1,307906,11621,0.0377420381545017,30,47,pre_onset,47,0,0
1,307906,16141,0.05242184303001565,30,86,pre_onset,86,0,0
1,307906,16301,0.05294148214065331,0,45,pre_onset,45,0,0
1,307906,30849,0.10018966827538274,0,77,pre_onset,77,0,0
1,307906,39782,0.12920176937117173,103,46,pre_onset,46,0,0
1,307906,48148,0.15637239936863848,25,45,pre_onset,45,0,0
1,307906,56648,0.18397822712126427,97,52,pre_onset,52,0,0
1,307906,70168,0.22788773197014672,0,45,pre_onset,45,0,0
1,307906,77526,0.2517846355705962,24,77,pre_onset,77,0,0
1,307906,91298,0.296512572018733,0,77,pre_onset,77,0,0
1,307906,95519,0.3102213013062428,0,45,pre_onset,45,0,0
1,307906,99689,0.3237643956272369,103,134,pre_onset,134,1,0
1,307906,114532,0.3719706663722045,0,76,pre_onset,76,0,0
1,307906,151696,0.49266984079556747,30,46,pre_onset,46,0,0
1,307906,159628,0.5184309497054296,0,45,pre_onset,45,0,0
1,307906,163126,0.5297915597617455,0,45,pre_onset,45,0,0
1,307906,164567,0.5344715595019259,0,160,pre_onset,160,1,0
1,307906,183333,0.5954187316908407,0,45,pre_onset,45,0,0
1,307906,187536,0.6090690015784038,102,79,pre_onset,79,0,0
1,307906,222006,0.7210187524764051,31,46,pre_onset,46,0,0
1,307906,229701,0.7460101459536352,0,76,pre_onset,76,0,0
1,307906,272646,0.8854845309932252,0,45,pre_onset,45,0,0
1,307906,278927,0.9058836138301949,30,71,pre_onset,71,0,0
1,307906,287881,0.9349639175592551,30,87,pre_onset,87,0,0
1,307906,293812,0.954226289841705,103,298,pre_onset,298,2,0
1,307906,295238,0.9588575734152631,25,76,pre_onset,76,0,0
1,307906,307677,0.9992562665228999,103,45,pre_onset,45,0,0
2,302092,776,0.002568753889543583,24,52,pre_onset,52,0,0
2,302092,10186,0.03371820505011718,30,47,pre_onset,47,0,0
2,302092,14638,0.04845543741641619,0,45,pre_onset,45,0,0
2,302092,31743,0.10507726123167777,103,45,pre_onset,45,0,0
