onset,side,dens,rngstate
180754,22,0.551,10557658553928233609
162064,15,0.375,12022107322617275712
155458,11,0.568,8029487164261472398
154823,15,0.396,1601614399565386673
153698,19,0.516,839045205203621743
149944,21,0.330,2552496246665115213
145128,25,0.474,7298527161575265600
141989,23,0.381,2448152068938827590
139108,19,0.456,5572901404058107162
138066,20,0.309,17914932241285892101
137557,25,0.540,10449442208857608613
135448,9,0.302,4539856297667388154
131181,10,0.450,16851825108232252373
128747,23,0.561,1800112124636149205
127699,21,0.414,151365548676207170
126436,25,0.591,16771571775060681453
124490,25,0.384,14842454158219533872
124377,11,0.583,12187931463801315491
123678,14,0.316,7498234547052720013
123586,14,0.572,16954239792488621332
122693,23,0.565,15572992878334648549
122625,9,0.290,14498864784578691705
120844,16,0.581,17976818635407710682
120695,17,0.348,12261310941015255826
120512,6,0.519,14476264048825952538
120297,21,0.355,6380428682852029437
120206,19,0.565,12857713229941463900
119514,12,0.407,14213969646147767472
118572,14,0.320,10475517389248802945
118132,23,0.426,5539638055430948012
117827,17,0.510,4341956985390799223
116450,22,0.380,7879381506214459559
116378,8,0.275,17545127335725942786
115937,21,0.589,10896517616182872774
114947,12,0.579,16771863345920205069
114386,17,0.263,9106612130854264021
114150,18,0.289,643830482314880180
113981,7,0.497,6430165732137213416
113945,24,0.417,11538430058911538372
113833,19,0.325,3237203690438938005
113254,18,0.335,8600980943182133868
113231,9,0.421,13358869950014576320
112230,9,0.522,13367566017972863081
111733,24,0.445,6456343051147566873
110900,9,0.277,60455722765328928
110822,22,0.424,7527556619159550249
110223,18,0.270,10207220290385868731
109720,5,0.349,9935804987778755531
109433,19,0.383,2437148860344557704
109220,25,0.537,9321513377630825083
108163,15,0.527,16795794088831846110
107877,14,0.283,7713728346509056517
107792,25,0.287,13014191022303551716
106474,7,0.418,16161298617710729171
106270,8,0.544,12078203035097756335
106235,10,0.549,3254411130822000833
106025,13,0.390,18039674300481702834
105850,19,0.579,17988257851279543858
105806,8,0.395,11791224857079489493
105677,16,0.537,10670870763309012395
105585,14,0.506,6133872987717063243
105248,22,0.567,1576120329045924731
104957,12,0.437,12397980380329020644
104849,17,0.533,2402855467390878254
104804,14,0.468,10292605983196168261
104518,17,0.461,17936906477192717399
104509,7,0.518,9419701540920812854
104361,15,0.310,6259397074848470454
104253,22,0.251,3453640838999036601
103249,24,0.303,8057159210756756401
102913,16,0.285,6595268375781143979
102782,11,0.381,5946890963034238452
102658,6,0.521,6137591495758244724
102399,17,0.440,9482053197588105782
102126,11,0.450,4582778707065048050
102084,20,0.364,10225057328412804630
101961,10,0.498,7473251322122578771
101857,7,0.397,11137212660259651614
101629,18,0.435,8744816443053793370
101278,25,0.492,2672890781902953373
101181,9,0.395,14881708949181501043
101116,17,0.531,12222998116788482327
100810,23,0.341,1155995869257243907
100500,17,0.489,16124424411231642091
100275,14,0.285,17814320726091908627
100178,17,0.299,11140526701953266611
100155,7,0.328,12624386586121072737
100106,24,0.554,9874659673246116578
100004,6,0.474,4962111928166220267
100001,18,0.275,10386361275758134906
99955,13,0.378,15182768199651588068
99924,25,0.292,10441764555491590536
99791,22,0.487,5315996388917471839
99775,22,0.473,3141173113667527724
99438,12,0.284,5987985556407042452
99371,18,0.371,2185867372743178555
99208,24,0.398,17848233635271987398
99130,7,0.593,18315663324275539779
99013,22,0.433,3642081127908395533
98988,25,0.277,15048192482682026494
98740,18,0.442,15451734649220522263
98718,17,0.538,12189007642790065605
98596,17,0.329,693486798132534172
98411,10,0.289,15928003550470834865
98288,6,0.280,8797103373699702249
98249,21,0.578,9137252983228714276
98229,19,0.380,12006496758884705031
97627,23,0.365,17235234662451424915
97391,14,0.352,2208237792978880091
96923,5,0.483,15470718741693271019
96519,5,0.266,16237879255266298812
96395,24,0.506,295292227612411737
96339,20,0.369,6179187802415236129
95973,25,0.345,13360001714108185699
95938,23,0.410,2444046580203819762
95819,17,0.468,1264768985824140812
95492,22,0.432,3571407196981051915
95471,14,0.277,1996448112050876661
95457,15,0.381,6767267670405671388
95391,12,0.515,14125104232371210632
95273,22,0.258,12721453165859662563
95216,14,0.305,1796604328139104815
95005,16,0.498,12780588404683710439
94891,17,0.370,7232710761304692763
94663,18,0.474,6583846599133717062
94651,12,0.526,14276195211847585877
94390,12,0.402,231425406173537543
94275,25,0.483,4791978173966320782
94186,9,0.403,12447918917220392462
94122,22,0.500,1545790363632908614
93872,23,0.441,15257044254638096093
93768,6,0.491,12189686812442507779
93706,25,0.592,306598576672852772
93319,22,0.289,2683973692419581057
93241,10,0.393,11605829246470882093
93163,16,0.479,2530090465657578931
93158,25,0.285,17027914717401819113
93121,13,0.405,10847156803505436090
92767,10,0.446,199328906088726044
92661,20,0.445,18238445963721489706
92608,24,0.432,8780824639223129179
92472,22,0.485,13449158411938724628
92244,24,0.288,5569319976679141990
92188,24,0.266,5761760843184069328
92168,23,0.396,10497646889837070328
92123,23,0.291,11087477790777192568
91944,15,0.522,16340895168246959049
91902,18,0.563,1268013497778355882
91778,23,0.304,4924056862534141692
91687,13,0.430,16221327139385579321
91533,9,0.480,4445574757568287032
91521,15,0.282,2020910508139156826
91129,6,0.558,7089970490189450790
91089,11,0.374,11882516737477468975
90864,19,0.536,12210511997667080952
90813,21,0.540,10402592078995850655
90771,21,0.571,7479369495067342956
90721,18,0.541,14976248736482561083
90704,19,0.530,9474314572821117682
90682,25,0.497,2590890762817690172
90675,21,0.594,821613114123238058
90669,13,0.545,9524713304258223897
90289,6,0.351,4064169984280234083
90106,12,0.354,16440678814547342305
89951,13,0.367,3604724276649195927
89940,24,0.286,1952504327655345001
89656,16,0.339,7771789311603654021
89607,20,0.594,5727753159968113593
89535,14,0.443,7030129609569780166
89397,21,0.344,2395073640234154068
89274,8,0.504,16063625106773865327
89263,12,0.436,16661814261047144708
89252,24,0.599,7237233437821275339
89245,15,0.440,7894551105809886930
89172,22,0.529,8254360788331955925
89100,8,0.305,13254386613609604773
88931,25,0.576,644180078003474317
88809,23,0.393,17215002166256286633
88735,14,0.588,15131039550946107007
88678,14,0.481,1466351415105606458
88558,24,0.544,265705164056253308
88531,21,0.508,18118135495371047660
88528,25,0.386,18283485697199035614
88437,15,0.267,18365055931206499856
88387,24,0.458,9898619500551167432
88319,15,0.346,1382726479867802103
88308,18,0.370,9009218103212177718
88161,16,0.442,3326563849560361602
88142,10,0.568,7164704508870531894
88141,10,0.336,16624371521445600325
88139,6,0.310,8074231294145372398
88125,22,0.311,7135790595836923035
88103,23,0.524,1837170882141844777
88085,22,0.522,2572169573442940033
88054,16,0.593,8753480920011787495
88034,23,0.269,3878802217766555331
88005,21,0.455,12181078743439604789
87739,17,0.312,15502153287959798105
87650,17,0.517,13764918545114945886
87506,15,0.592,2082523978328851343
87144,12,0.347,9489016396105188883
87133,19,0.563,3671653301539009842
86972,15,0.531,6828965673068582719
86846,13,0.572,5394984486505199245
86832,20,0.252,11350716709745706974
86788,6,0.556,11038849481367715627
86769,17,0.496,979812103779423734
86758,24,0.562,11418926458674650785
86748,17,0.290,9617976491454080630
86716,22,0.466,14048386943979407612
86645,22,0.450,16354787066768880378
86627,19,0.378,17440285647147129975
86602,7,0.573,16364099880160602787
86557,22,0.431,9535340434256681004
86533,25,0.358,10224550590287366809
86498,11,0.288,6406055859196868497
86408,22,0.568,14919521055218144974
86212,25,0.450,3309546156998826702
86184,13,0.304,3648391868036878843
86174,21,0.412,1450225675781642752
86063,22,0.264,15691471015191906095
85782,23,0.355,448278253999020927
85737,25,0.364,10367540474389808882
85290,5,0.534,12510521486720252919
85290,16,0.599,9760552843257715351
85127,8,0.586,13926589411876727484
85093,6,0.557,16478362862240410708
85012,7,0.538,17227067326878255820
84983,9,0.502,5170264821543917139
84932,7,0.403,12791795996939223006
84874,9,0.556,17895152178499773866
84839,24,0.538,14121021884441026814
84797,18,0.453,13743405600650788612
84750,7,0.292,2462588270017010171
84682,17,0.520,7460599801546038278
84529,22,0.538,1842538069313478779
84519,22,0.591,846121529155740316
84503,19,0.452,12784430164966929505
84388,17,0.399,12032476836883775552
84316,14,0.277,17951680882757725596
84159,8,0.519,10138501035874597340
84154,6,0.551,1668855562583431639
84115,8,0.257,849275398893223689
83888,6,0.551,215354529959578270
83748,19,0.273,15048280956104881779
83665,8,0.583,6908402040059597391
83642,25,0.314,17718811551259091272
83640,18,0.400,18321225609256770568
83601,15,0.578,5824227134818175877
83532,23,0.393,16999901545755931093
83465,21,0.267,15025752371467876583
83315,14,0.476,14831431395693502380
83180,22,0.367,12931518950559397228
83164,20,0.320,14925402101569851414
83097,25,0.284,12152430148616675078
83072,12,0.356,7619015314030459825
83052,12,0.413,2696279174245765080
82965,23,0.349,11726723761843092604
82806,14,0.329,10144143618527351564
82753,18,0.372,5749648335938864574
82732,18,0.551,12615057872571219257
82704,15,0.583,9717665665143452230
82697,15,0.368,9952949134231295897
82646,7,0.566,9605461995248222194
82566,8,0.332,7182346310440491585
82404,6,0.324,7007008090252268547
82302,19,0.346,9494154870844139751
82232,18,0.259,13315367586776895007
82122,21,0.491,12615727638900571379
82056,20,0.313,9985734576547550077
82034,6,0.388,11168685828000401384
81904,20,0.593,11649754303870344682
81851,23,0.535,12248795564067343904
81843,20,0.545,10010846750868531174
81798,25,0.524,15487099918888215130
81753,19,0.295,14308512157657047623
81751,9,0.343,957686683784233891
81737,18,0.281,7903225431610717941
81712,15,0.476,5134547276614841357
81608,20,0.547,10979509699391338516
81457,24,0.511,557227578877338656
81439,25,0.259,1652711837603321003
81393,13,0.502,5958651209194075635
81148,16,0.532,5792513369214863001
81138,5,0.567,14381517816485939058
81102,16,0.513,11403777988370037704
81101,7,0.507,184692180458426728
81101,19,0.255,11049901648731254914
81085,24,0.317,4527098256150850412
81031,14,0.598,9446226159363746065
81021,17,0.512,14029854547062220186
81020,23,0.580,3484786789823750589
80865,21,0.524,7019595456867383292
80849,21,0.261,3368016978941162014
80752,10,0.321,7815084219065827111
80737,16,0.273,13645512045249076113
80700,22,0.514,14782001435295318360
80672,14,0.409,16713139195706860719
80612,18,0.319,5702789205135188845
80562,16,0.496,2025893199606192187
80439,20,0.521,9793722396465753672
80429,15,0.455,2866681430488906504
80356,13,0.272,12696842766182768938
80337,9,0.435,11234232621854233359
80309,8,0.443,12621659099864700647
80304,21,0.263,11641093644004319233
80280,10,0.304,14601836053960696295
80261,22,0.483,1196530962064453445
80241,24,0.326,10759150935842558998
80160,13,0.476,15263475432088744958
80121,19,0.269,2627352128001953543
80076,22,0.327,6171726188133642727
