phase,attempts,ok,failures,ok_rate,missing_black,frontier_black_collision,median_bad_offset
0,314,10,304,0.03184713375796178,114,190,70.0
103,128,3,125,0.0234375,49,76,46
30,83,0,83,0.0,64,19,68
24,75,2,73,0.02666666666666667,46,27,74
102,49,2,47,0.04081632653061224,12,35,47
31,45,0,45,0.0,39,6,58
25,27,2,25,0.07407407407407407,13,12,56
100,26,2,24,0.07692307692307693,8,16,59.5
99,22,1,21,0.045454545454545456,8,13,81
16,8,0,8,0.0,3,5,49.5
98,6,1,5,0.16666666666666666,2,3,68
101,6,0,6,0.0,1,5,48.5
90,5,0,5,0.0,0,5,59
97,5,1,4,0.2,2,2,67.5
26,4,0,4,0.0,2,2,47.5
92,4,0,4,0.0,4,0,89.0
21,3,0,3,0.0,0,3,49
