offset,rel_x,rel_y,abs_x,abs_y,required_black,actual_black,ok,bad_kind,attempt_id,idx,lock_index,start,kind,phase,is_first_bad
0,0,0,23,-14,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
1,1,0,23,-15,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
2,1,-1,22,-15,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
3,2,-1,22,-16,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
4,2,-2,21,-16,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
5,1,-2,21,-15,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
8,2,0,23,-16,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
13,3,-2,21,-17,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
14,3,-1,22,-17,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
15,4,-1,22,-18,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
16,4,0,23,-18,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
17,3,0,23,-17,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
20,4,-2,21,-18,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
25,5,0,23,-19,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
26,5,1,24,-19,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
27,4,1,24,-18,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
30,5,-1,22,-19,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
31,6,-1,22,-20,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
32,6,0,23,-20,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
40,6,-2,21,-20,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
41,7,-2,21,-21,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
42,7,-1,22,-21,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
45,5,-2,21,-19,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
46,5,-3,20,-19,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
47,4,-3,20,-18,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
50,3,-3,20,-17,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
51,2,-3,20,-16,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
59,6,-3,20,-20,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
68,2,-4,19,-16,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
69,1,-4,19,-15,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
70,1,-3,20,-15,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
71,0,-3,20,-14,1,0,0,missing_black,0:0,0,0,11757,pre_onset_lock,30,1
72,0,-2,21,-14,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
86,1,1,24,-15,1,1,1,,0:0,0,0,11757,pre_onset_lock,30,0
87,2,1,24,-16,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
88,2,2,25,-16,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
89,1,2,25,-15,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
101,3,2,25,-17,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
102,3,3,26,-17,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
103,2,3,26,-16,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
106,3,1,24,-17,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
112,4,2,25,-18,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
119,6,1,24,-20,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
120,6,2,25,-20,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
121,5,2,25,-19,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
129,7,2,25,-21,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
130,7,3,26,-21,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
131,6,3,26,-20,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
134,7,1,24,-21,0,0,1,,0:0,0,0,11757,pre_onset_lock,30,0
