idx,prev_attempt_id,next_attempt_id,gap_steps,prev_phase,next_phase,same_phase,prev_ok,next_ok,origin_l1,origin_linf,same_origin,heading_delta_mod4,critical_l1,same_critical_cell
0,0:0,0:1,3781,30,30,1,0,0,43,40,0,3,41,0
0,0:1,0:2,10911,30,0,0,0,0,47,42,0,3,53,0
0,0:2,0:3,2490,0,0,1,0,0,32,27,0,0,37,0
0,0:3,0:4,5628,0,103,0,0,0,26,14,0,0,33,0
0,0:4,0:5,1859,103,0,0,0,0,59,42,0,3,54,0
0,0:5,0:6,4060,0,103,0,0,0,16,10,0,0,25,0
0,0:6,0:7,2150,103,0,0,0,0,32,19,0,0,38,0
0,0:7,0:8,1460,0,0,1,0,0,10,6,0,0,8,0
0,0:8,0:9,3355,0,101,0,0,0,15,11,0,3,31,0
0,0:9,0:10,11991,101,24,0,0,0,87,46,0,3,80,0
0,0:10,0:11,55762,24,0,0,0,0,18,13,0,0,23,0
0,0:11,0:12,31437,0,103,0,0,0,53,35,0,3,56,0
0,0:12,0:13,4895,103,0,0,0,0,21,17,0,1,28,0
0,0:13,0:14,148,0,100,0,0,0,2,2,0,0,16,0
0,0:14,0:15,11343,100,0,0,0,0,17,9,0,1,27,0
0,0:15,0:16,1855,0,0,1,0,0,9,8,0,3,10,0
0,0:16,0:17,111,0,99,0,0,0,3,2,0,1,3,0
0,0:17,0:18,6653,99,103,0,0,0,153,121,0,3,144,0
0,0:18,0:19,34803,103,0,0,0,0,15,13,0,1,13,0
0,0:19,0:20,9766,0,24,0,0,0,146,95,0,0,148,0
0,0:20,0:21,56993,24,25,0,0,0,107,88,0,1,119,0
0,0:21,0:22,303,25,0,0,0,0,43,35,0,1,44,0
0,0:22,0:23,224,0,0,1,0,0,4,2,0,0,6,0
0,0:23,0:24,947,0,103,0,0,0,3,2,0,3,3,0
0,0:24,0:25,1773,103,0,0,0,0,33,17,0,1,34,0
0,0:25,0:26,8914,0,26,0,0,0,44,33,0,0,47,0
0,0:26,0:27,1905,26,0,0,0,0,49,48,0,3,50,0
0,0:27,0:28,6654,0,0,1,0,0,130,97,0,2,124,0
0,0:28,0:29,1317,0,31,0,0,0,15,12,0,1,19,0
0,0:29,0:30,4045,31,24,0,0,0,5,3,0,1,7,0
0,0:30,0:31,11087,24,25,0,0,0,137,72,0,1,141,0
0,0:31,0:32,686,25,0,0,0,0,10,9,0,0,7,0
0,0:32,0:33,2159,0,100,0,0,0,43,43,0,1,47,0
0,0:33,0:34,136,100,100,1,0,1,4,2,0,0,,
1,1:0,1:1,10709,0,30,0,0,0,21,19,0,3,27,0
1,1:1,1:2,4520,30,30,1,0,0,8,4,0,0,9,0
1,1:2,1:3,160,30,0,0,0,0,8,6,0,2,5,0
1,1:3,1:4,14548,0,0,1,0,0,24,24,0,0,26,0
