basis,step,key,new_failures_covered,cumulative_failures_covered,remaining_failures,mismatch_cells
bad_kind,1,missing_black,737,737,49,2274
bad_kind,2,frontier_black_collision,49,786,0,3532
offset_bucket,1,45_77_mid_gate,675,675,111,2797
offset_bucket,2,98_99_deep_gate,53,728,58,415
offset_bucket,3,78_97_late_body,26,754,32,867
offset_bucket,4,100_103_tail,14,768,18,217
offset_bucket,5,208_plus,12,780,6,12
offset_bucket,6,104_207_period2,6,786,0,1407
offset,1,77,300,300,486,300
offset,2,71,143,443,343,222
offset,3,99,92,535,251,290
offset,4,74,60,595,191,78
offset,5,101,36,631,155,54
offset,6,76,29,660,126,196
offset,7,75,20,680,106,107
offset,8,68,17,697,89,59
offset,9,82,13,710,76,39
offset,10,102,10,720,66,38
offset,11,45,9,729,57,179
offset,12,89,8,737,49,115
offset,13,49,6,743,43,41
offset,14,53,5,748,38,23
offset,15,166,4,752,34,53
offset,16,69,3,755,31,44
offset,17,80,2,757,29,165
offset,18,72,2,759,27,104
offset,19,175,2,761,25,83
offset,20,103,2,763,23,46
offset,21,87,2,765,21,40
offset,22,64,2,767,19,29
offset,23,134,2,769,17,24
offset,24,169,2,771,15,13
offset,25,95,2,773,13,10
offset,26,488,2,775,11,2
offset,27,100,1,776,10,79
offset,28,298,1,777,9,1
offset,29,268,1,778,8,1
offset,30,685,1,779,7,1
offset,31,1533,1,780,6,1
offset,32,373,1,781,5,1
offset,33,492,1,782,4,1
offset,34,799,1,783,3,1
offset,35,279,1,784,2,1
offset,36,273,1,785,1,1
offset,37,1591,1,786,0,1
phase,1,0,304,304,482,2254
phase,2,103,125,429,357,1236
phase,3,30,83,512,274,466
phase,4,24,73,585,201,261
phase,5,102,47,632,154,486
phase,6,31,45,677,109,342
phase,7,25,25,702,84,112
phase,8,100,24,726,60,181
phase,9,99,21,747,39,114
phase,10,16,8,755,31,70
phase,11,101,6,761,25,84
phase,12,98,5,766,20,46
phase,13,90,5,771,15,29
phase,14,26,4,775,11,61
phase,15,97,4,779,7,26
phase,16,92,4,783,3,8
phase,17,21,3,786,0,30
phase_offset,1,0|99,183,183,603,183
phase_offset,2,103|99,107,290,496,107
phase_offset,3,0|77,76,366,420,164
phase_offset,4,30|71,63,429,357,63
phase_offset,5,24|74,34,463,323,34
phase_offset,6,102|101,32,495,291,32
phase_offset,7,31|67,25,520,266,25
phase_offset,8,24|77,24,544,242,32
phase_offset,9,0|193,22,566,220,68
phase_offset,10,100|103,15,581,205,15
phase_offset,11,31|88,14,595,191,25
phase_offset,12,25|73,14,609,177,14
phase_offset,13,99|82,13,622,164,13
phase_offset,14,30|69,12,634,152,35
phase_offset,15,102|78,10,644,142,23
phase_offset,16,103|81,9,653,133,93
phase_offset,17,0|70,9,662,124,90
phase_offset,18,24|76,7,669,117,29
phase_offset,19,30|88,7,676,110,18
phase_offset,20,16|64,7,683,103,7
phase_offset,21,100|81,6,689,97,14
phase_offset,22,0|98,5,694,92,125
phase_offset,23,24|53,5,699,87,21
phase_offset,24,25|76,5,704,82,10
phase_offset,25,90|59,5,709,77,5
phase_offset,26,103|194,4,713,73,35
phase_offset,27,31|70,4,717,69,22
phase_offset,28,25|75,4,721,65,11
phase_offset,29,26|92,4,725,61,4
phase_offset,30,101|80,4,729,57,4
phase_offset,31,98|83,4,733,53,4
phase_offset,32,92|89,4,737,49,4
phase_offset,33,102|79,3,740,46,26
phase_offset,34,99|103,3,743,43,13
phase_offset,35,97|84,3,746,40,3
phase_offset,36,21|49,3,749,37,3
phase_offset,37,0|75,2,751,35,64
phase_offset,38,0|175,2,753,33,64
phase_offset,39,31|71,2,755,31,20
phase_offset,40,24|95,2,757,29,6
phase_offset,41,100|197,2,759,27,5
phase_offset,42,101|49,2,761,25,3
phase_offset,43,99|198,2,763,23,2
phase_offset,44,103|77,1,764,22,81
phase_offset,45,103|100,1,765,21,33
phase_offset,46,30|47,1,766,20,30
phase_offset,47,102|100,1,767,19,30
phase_offset,48,25|45,1,768,18,9
phase_offset,49,102|134,1,769,17,8
phase_offset,50,103|134,1,770,16,5
phase_offset,51,16|54,1,771,15,5
phase_offset,52,98|95,1,772,14,4
phase_offset,53,25|64,1,773,13,2
phase_offset,54,97|78,1,774,12,2
phase_offset,55,103|298,1,775,11,1
phase_offset,56,99|268,1,776,10,1
phase_offset,57,0|685,1,777,9,1
phase_offset,58,99|1533,1,778,8,1
phase_offset,59,0|373,1,779,7,1
phase_offset,60,99|492,1,780,6,1
phase_offset,61,103|488,1,781,5,1
phase_offset,62,0|799,1,782,4,1
phase_offset,63,0|279,1,783,3,1
phase_offset,64,100|273,1,784,2,1
phase_offset,65,0|488,1,785,1,1
phase_offset,66,24|1591,1,786,0,1
phase_offset_kind,1,0|99|missing_black,183,183,603,183
phase_offset_kind,2,103|99|missing_black,107,290,496,107
phase_offset_kind,3,0|77|missing_black,76,366,420,164
phase_offset_kind,4,30|71|missing_black,63,429,357,63
phase_offset_kind,5,24|74|missing_black,34,463,323,34
