basis,key,attempts,failed_attempts,ok_attempts,mismatch_cells,first_bad_attempts,first_bad_cells,missing_black_cells,frontier_black_collision_cells,top_phase,phase_support
bad_kind,missing_black,737,737,0,2274,367,367,2274,0,0,17
bad_kind,frontier_black_collision,582,582,0,3532,419,419,0,3532,0,16
offset_bucket,45_77_mid_gate,675,675,0,2797,598,598,1157,1640,0,16
offset_bucket,78_97_late_body,492,492,0,867,29,29,525,342,0,17
offset_bucket,98_99_deep_gate,309,309,0,415,50,50,415,0,0,2
offset_bucket,104_207_period2,307,307,0,1407,6,6,20,1387,0,16
offset_bucket,100_103_tail,154,154,0,217,14,14,139,78,102,7
offset_bucket,00_44_early,77,77,0,91,77,77,18,73,0,11
offset_bucket,208_plus,12,12,0,12,12,12,0,12,0,5
offset,77,300,300,0,300,56,56,282,18,0,8
offset,99,290,290,0,290,26,26,290,0,0,2
offset,71,222,222,0,222,58,58,83,139,0,4
offset,76,196,196,0,196,32,32,116,80,0,8
offset,45,179,179,0,179,137,137,47,132,0,8
offset,80,165,165,0,165,2,2,164,1,0,4
offset,61,157,157,0,157,20,20,6,151,103,5
offset,46,134,134,0,134,78,78,30,104,103,9
offset,50,132,132,0,132,6,6,116,16,0,9
offset,98,125,125,0,125,24,24,125,0,0,1
offset,70,124,124,0,124,21,21,22,102,0,3
offset,47,120,120,0,120,45,45,31,89,103,7
offset,81,115,115,0,115,2,2,112,3,103,4
offset,89,115,115,0,115,7,7,4,111,0,3
offset,62,108,108,0,108,6,6,0,108,103,3
offset,75,107,107,0,107,8,8,19,88,0,7
offset,72,104,104,0,104,10,10,8,96,0,5
offset,78,104,104,0,104,3,3,99,5,103,7
offset,60,94,94,0,94,0,0,5,89,0,5
offset,73,91,91,0,91,9,9,17,74,103,6
offset,51,86,86,0,86,3,3,74,12,103,8
offset,193,85,85,0,85,0,0,0,85,0,2
offset,175,83,83,0,83,0,0,0,83,0,2
offset,100,79,79,0,79,9,9,63,16,103,3
offset,74,78,78,0,78,17,17,45,33,24,7
offset,176,61,61,0,61,0,0,0,61,0,3
offset,68,59,59,0,59,14,14,55,4,30,5
offset,179,58,58,0,58,0,0,0,58,0,4
offset,174,56,56,0,56,0,0,0,56,0,1
offset,101,54,54,0,54,0,0,34,20,102,4
offset,166,53,53,0,53,0,0,0,53,0,5
offset,48,52,52,0,52,3,3,2,50,103,5
offset,56,52,52,0,52,7,7,19,33,0,7
offset,165,52,52,0,52,1,1,0,52,0,5
offset,90,49,49,0,49,0,0,3,46,103,2
offset,103,46,46,0,46,2,2,28,18,30,3
offset,69,44,44,0,44,3,3,35,9,30,2
offset,149,44,44,0,44,0,0,0,44,0,5
offset,88,43,43,0,43,0,0,0,43,31,2
offset,49,41,41,0,41,13,13,20,21,31,7
offset,87,40,40,0,40,2,2,2,38,30,3
offset,52,39,39,0,39,10,10,37,2,102,5
offset,82,39,39,0,39,6,6,39,0,102,4
offset,102,38,38,0,38,3,3,14,24,31,4
offset,160,38,38,0,38,1,1,0,38,0,2
offset,57,37,37,0,37,2,2,4,33,0,5
offset,55,36,36,0,36,5,5,12,24,0,6
offset,79,36,36,0,36,3,3,30,6,102,5
offset,161,36,36,0,36,0,0,0,36,0,3
offset,164,36,36,0,36,1,1,0,36,0,4
offset,63,35,35,0,35,3,3,0,35,103,5
offset,194,35,35,0,35,0,0,0,35,103,1
offset,44,34,34,0,34,26,26,18,16,0,5
offset,150,34,34,0,34,1,1,0,34,0,4
offset,151,34,34,0,34,0,0,0,34,0,5
offset,159,31,31,0,31,0,0,0,31,0,2
offset,86,30,30,0,30,1,1,16,14,30,2
offset,64,29,29,0,29,1,1,10,19,102,5
offset,67,28,28,0,28,13,13,25,3,31,3
offset,91,28,28,0,28,0,0,3,25,102,3
offset,65,26,26,0,26,1,1,0,26,24,4
offset,177,26,26,0,26,0,0,0,26,103,4
offset,180,26,26,0,26,0,0,0,26,103,4
offset,59,24,24,0,24,6,6,3,21,102,7
offset,134,24,24,0,24,1,1,0,24,102,7
offset,53,23,23,0,23,7,7,23,0,24,2
offset,85,23,23,0,23,0,0,22,1,31,3
offset,120,23,23,0,23,0,0,0,23,102,6
offset,43,22,22,0,22,22,22,0,22,0,1
offset,40,21,21,0,21,21,21,0,21,30,5
