idx,shard,onset,rngstate,eligible_deep_events,selected_event_index,event_t,post_t,time_frac,post_is_onset,horizon,convention,event_cell_x,event_cell_y,pre_x,pre_y,pre_heading,post_x,post_y,post_heading,pre_observed_turn_bit,post_observed_turn_bit,pre_best_phase,post_best_phase,best_phase_changed,pre_h_best,post_h_best,delta_h_best,h_relation,pre_phi_compat,post_phi_compat,delta_phi_compat,phi_relation,pre_compatible_clear_phase_count,post_compatible_clear_phase_count,pre_best_bad_kind,post_best_bad_kind,pre_best_first_bad_offset,post_best_first_bad_offset,pre_best_first_bad_l1,post_best_first_bad_l1,pre_best_first_bad_linf,post_best_first_bad_linf,pre_compatible_median_h,post_compatible_median_h,pre_missing_black_count,post_missing_black_count,pre_frontier_black_collision_count,post_frontier_black_collision_count
0,0,313358,4700473787566636120,74337,0,1043,1044,0.003328461376444833,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-4,-3,-4,-3,1,-4,-4,0,0,0,92,26,1,4,6,2,improve,0.9622687143632572,0.9439403459411809,-0.018328368422076302,improve,0,0,missing_black,frontier_black_collision,4,6,2,2,2,1,1,2,3,10,8,1
0,0,313358,4700473787566636120,74337,1,16541,16542,0.05278627001704121,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-7,10,-7,10,3,-7,11,2,0,0,92,26,1,4,12,8,improve,0.9622687143632572,0.8910233766955563,-0.07124533766770091,improve,0,0,missing_black,frontier_black_collision,4,12,2,2,2,2,1,2,3,10,8,1
0,0,313358,4700473787566636120,74337,2,30627,30628,0.0977380504087976,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,6,-19,6,-19,3,6,-18,2,0,0,92,93,1,6,5,-1,decline,0.9439403459411809,0.9530604719137336,0.009120125972552628,decline,0,0,missing_black,missing_black,6,5,4,3,3,2,1,2,3,10,8,1
0,0,313358,4700473787566636120,74337,3,44438,44439,0.14181224031299663,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,21,-37,21,-37,2,22,-37,1,0,1,31,16,1,12,3,-9,decline,0.8910233766955563,0.9715659246500883,0.08054254795453197,decline,0,0,frontier_black_collision,frontier_black_collision,12,3,4,1,2,1,2,2,3,0,8,11
0,0,313358,4700473787566636120,74337,4,57429,57430,0.18326961494520644,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,31,24,31,24,3,31,25,2,0,1,83,21,1,6,6,0,tie,0.9439403459411809,0.9439403459411809,0.0,tie,0,0,frontier_black_collision,frontier_black_collision,6,6,4,4,3,3,2,1,8,7,3,4
0,0,313358,4700473787566636120,74337,5,70805,70806,0.22595561625999655,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,45,-24,45,-24,3,45,-23,2,0,0,92,93,1,6,5,-1,decline,0.9439403459411809,0.9530604719137336,0.009120125972552628,decline,0,0,missing_black,missing_black,6,5,4,3,3,2,1,2,3,10,8,1
0,0,313358,4700473787566636120,74337,6,84066,84067,0.26827462518908085,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-5,-13,-5,-13,2,-4,-13,1,0,0,92,83,1,5,5,0,tie,0.9530604719137336,0.9530604719137336,0.0,tie,0,0,frontier_black_collision,frontier_black_collision,5,5,3,3,3,2,1,2,2,8,9,3
0,0,313358,4700473787566636120,74337,7,96528,96529,0.30804383484704395,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,20,-16,20,-16,2,21,-16,1,0,1,0,16,1,13,11,-2,decline,0.8824969025845955,0.8996322315611148,0.01713532897651937,decline,0,0,frontier_black_collision,frontier_black_collision,13,11,3,3,2,2,2,2,5,3,6,8
0,0,313358,4700473787566636120,74337,8,109700,109701,0.35007882358197334,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-20,-6,-20,-6,2,-19,-6,1,0,0,92,98,1,2,7,5,improve,0.9809529623602027,0.9349074932321897,-0.046045469128012995,improve,0,0,frontier_black_collision,frontier_black_collision,2,7,2,3,1,3,1,1,0,0,11,11
0,0,313358,4700473787566636120,74337,9,122906,122907,0.39222231441354616,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,27,23,27,23,0,26,23,3,0,1,83,21,1,6,7,1,improve,0.9439403459411809,0.9349074932321897,-0.009032852708991235,improve,0,0,frontier_black_collision,frontier_black_collision,6,7,4,5,3,4,2,1,8,7,3,4
