idx,shard,onset,rngstate,eligible_deep_events,selected_event_index,event_t,post_t,time_frac,post_is_onset,horizon,convention,event_cell_x,event_cell_y,pre_x,pre_y,pre_heading,post_x,post_y,post_heading,pre_observed_turn_bit,post_observed_turn_bit,pre_best_phase,post_best_phase,best_phase_changed,pre_h_best,post_h_best,delta_h_best,h_relation,pre_phi_compat,post_phi_compat,delta_phi_compat,phi_relation,pre_compatible_clear_phase_count,post_compatible_clear_phase_count,pre_best_bad_kind,post_best_bad_kind,pre_best_first_bad_offset,post_best_first_bad_offset,pre_best_first_bad_l1,post_best_first_bad_l1,pre_best_first_bad_linf,post_best_first_bad_linf,pre_compatible_median_h,post_compatible_median_h,pre_missing_black_count,post_missing_black_count,pre_frontier_black_collision_count,post_frontier_black_collision_count
12,12,267843,18287853548615453633,63072,3,37070,37071,0.13840197429090922,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-15,-11,-15,-11,0,-16,-11,3,0,1,83,90,1,25,6,-19,decline,0.7863253700642956,0.9439403459411809,0.15761497587688533,decline,0,0,frontier_black_collision,missing_black,25,6,1,4,1,3,2,1,8,9,3,2
16,16,265277,2581380668079156450,62081,8,92515,92516,0.3487486664882368,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-8,-19,-8,-19,3,-8,-18,2,0,1,31,16,1,19,3,-16,decline,0.8330244315177237,0.9715659246500883,0.13854149313236463,decline,0,0,missing_black,frontier_black_collision,19,3,5,1,3,1,2,2,4,0,7,11
7,7,272174,3981815637707193797,63486,4,50188,50189,0.1843967461991226,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-10,-24,-10,-24,2,-9,-24,1,0,1,31,16,1,16,3,-13,decline,0.8574039191604412,0.9715659246500883,0.11416200548964706,decline,0,0,frontier_black_collision,frontier_black_collision,16,3,2,1,2,1,2,2,3,0,8,11
20,20,255171,7363838155587417590,59322,2,25113,25114,0.09841635609062159,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,19,-8,19,-8,3,19,-7,2,0,1,31,16,1,14,3,-11,decline,0.8740520209016968,0.9715659246500883,0.09751390374839153,decline,0,0,frontier_black_collision,frontier_black_collision,14,3,4,1,3,1,2,2,3,0,8,11
22,22,252072,15996951898054259342,58824,21,222180,222181,0.8814148338569933,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-6,-86,-6,-86,2,-5,-86,1,0,1,31,16,1,14,3,-11,decline,0.8740520209016968,0.9715659246500883,0.09751390374839153,decline,0,0,frontier_black_collision,frontier_black_collision,14,3,4,1,3,1,2,2,3,0,8,11
1,1,307906,4692330403214779697,72247,6,81657,81658,0.2652010678583724,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,21,-6,21,-6,3,21,-5,2,0,1,31,16,1,13,3,-10,decline,0.8824969025845955,0.9715659246500883,0.08906902206549283,decline,0,0,missing_black,frontier_black_collision,13,3,3,1,2,1,2,2,4,0,7,11
10,10,270401,9220737208495014129,62611,9,106349,106350,0.39330106027714395,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-45,-28,-45,-28,1,-45,-29,0,0,1,31,16,1,13,3,-10,decline,0.8824969025845955,0.9715659246500883,0.08906902206549283,decline,0,0,missing_black,frontier_black_collision,13,3,3,1,2,1,2,2,4,0,7,11
3,3,291397,12567324566037349410,67222,9,114075,114076,0.39147623345470267,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-4,7,-4,7,3,-4,8,2,0,1,31,16,1,13,3,-10,decline,0.8824969025845955,0.9715659246500883,0.08906902206549283,decline,0,0,missing_black,frontier_black_collision,13,3,3,1,2,1,2,2,4,0,7,11
23,23,251853,13807782660207995538,58534,17,181644,181645,0.7212302414503698,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-6,30,-6,30,0,-7,30,3,0,1,31,16,1,13,3,-10,decline,0.8824969025845955,0.9715659246500883,0.08906902206549283,decline,0,0,missing_black,frontier_black_collision,13,3,3,1,2,1,2,2,4,0,7,11
8,8,271114,3955567068357606463,64208,16,183357,183358,0.6763095967010188,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-37,-46,-37,-46,3,-37,-45,2,0,1,31,16,1,13,3,-10,decline,0.8824969025845955,0.9715659246500883,0.08906902206549283,decline,0,0,missing_black,frontier_black_collision,13,3,3,1,2,1,2,2,4,0,7,11
