Lpred,H,threshold,deep_bin,bite_bin,deep_count_low,deep_count_high,deep_rate_low,deep_rate_high,bite_count_low,bite_count_high,bite_rate_low,bite_rate_high,n,mean_deep_rate,mean_bite_rate,events,hazard
313,312,40,0,0,18,61,0.05750798722044728,0.19488817891373802,0,0,0.0,0.0,8562,0.18703976930533886,0.0,431,0.05033870590983415
313,312,40,0,2,18,61,0.05750798722044728,0.19488817891373802,1,14,0.003194888178913738,0.04472843450479233,9937,0.18477108659956906,0.025192900577149513,1511,0.15205796518063802
313,312,40,0,3,18,61,0.05750798722044728,0.19488817891373802,15,36,0.04792332268370607,0.11501597444089456,75416,0.17939037012515643,0.09007685931004523,15920,0.21109578869205473
313,312,40,0,4,18,61,0.05750798722044728,0.19488817891373802,37,111,0.1182108626198083,0.3546325878594249,251104,0.15800618080775353,0.1763967507983108,65988,0.2627915126800051
313,312,40,1,0,62,71,0.19808306709265175,0.2268370607028754,0,0,0.0,0.0,79819,0.21692826025276082,0.0,4308,0.05397211190318095
313,312,40,1,2,62,71,0.19808306709265175,0.2268370607028754,1,14,0.003194888178913738,0.04472843450479233,55309,0.21594536232311395,0.02251538654427287,8182,0.14793252454392594
313,312,40,1,3,62,71,0.19808306709265175,0.2268370607028754,15,36,0.04792332268370607,0.11501597444089456,130688,0.21292878016133204,0.0819787751937846,25401,0.1943636753183154
313,312,40,1,4,62,71,0.19808306709265175,0.2268370607028754,37,111,0.1182108626198083,0.3546325878594249,56585,0.20931675352833007,0.14350651752106872,11861,0.20961385526199522
313,312,40,2,0,72,78,0.23003194888178913,0.24920127795527156,0,0,0.0,0.0,149915,0.24052270727628813,0.0,8001,0.05337024313777807
313,312,40,2,2,72,78,0.23003194888178913,0.24920127795527156,1,14,0.003194888178913738,0.04472843450479233,79409,0.24013868105578848,0.020080774839143525,11058,0.13925373698195417
313,312,40,2,3,72,78,0.23003194888178913,0.24920127795527156,15,36,0.04792332268370607,0.11501597444089456,75649,0.23880721696983062,0.07499365342806492,13244,0.17507171277875452
313,312,40,2,4,72,78,0.23003194888178913,0.24920127795527156,37,111,0.1182108626198083,0.3546325878594249,9944,0.23697915997317348,0.13668685212269022,2190,0.22023330651649237
313,312,40,3,0,79,86,0.2523961661341853,0.2747603833865815,0,0,0.0,0.0,221479,0.26354344501340277,0.0,10922,0.04931393044035778
313,312,40,3,2,79,86,0.2523961661341853,0.2747603833865815,1,14,0.003194888178913738,0.04472843450479233,92744,0.2630957207017745,0.01777451083873112,12654,0.13644009315966532
313,312,40,3,3,79,86,0.2523961661341853,0.2747603833865815,15,36,0.04792332268370607,0.11501597444089456,40191,0.26105744431363603,0.06956002341217012,6963,0.17324774203179816
313,312,40,3,4,79,86,0.2523961661341853,0.2747603833865815,37,111,0.1182108626198083,0.3546325878594249,2066,0.25973543975331637,0.132442496652016,484,0.23426911907066797
313,312,40,4,0,87,124,0.2779552715654952,0.3961661341853035,0,0,0.0,0.0,212738,0.2953986930243139,0.0,9855,0.04632458705073847
313,312,40,4,2,87,124,0.2779552715654952,0.3961661341853035,1,14,0.003194888178913738,0.04472843450479233,68599,0.2938896127688107,0.014862920299840213,8724,0.12717386550824356
313,312,40,4,3,87,124,0.2779552715654952,0.3961661341853035,15,36,0.04792332268370607,0.11501597444089456,10160,0.2882653895499515,0.0643310860104126,1760,0.1732283464566929
313,312,40,4,4,87,124,0.2779552715654952,0.3961661341853035,37,111,0.1182108626198083,0.3546325878594249,223,0.2863364804653362,0.13258069599851,40,0.17937219730941703
313,312,80,0,0,18,61,0.05750798722044728,0.19488817891373802,0,0,0.0,0.0,8562,0.18703976930533886,0.0,7,0.000817565989254847
313,312,80,0,2,18,61,0.05750798722044728,0.19488817891373802,1,14,0.003194888178913738,0.04472843450479233,9937,0.18477108659956906,0.025192900577149513,73,0.007346281573915669
313,312,80,0,3,18,61,0.05750798722044728,0.19488817891373802,15,36,0.04792332268370607,0.11501597444089456,75416,0.17939037012515643,0.09007685931004523,750,0.009944839291397051
313,312,80,0,4,18,61,0.05750798722044728,0.19488817891373802,37,111,0.1182108626198083,0.3546325878594249,251104,0.15800618080775353,0.1763967507983108,4699,0.018713361794316298
313,312,80,1,0,62,71,0.19808306709265175,0.2268370607028754,0,0,0.0,0.0,79819,0.21692826025276082,0.0,121,0.0015159297911524826
313,312,80,1,2,62,71,0.19808306709265175,0.2268370607028754,1,14,0.003194888178913738,0.04472843450479233,55309,0.21594536232311395,0.02251538654427287,257,0.004646621707136271
313,312,80,1,3,62,71,0.19808306709265175,0.2268370607028754,15,36,0.04792332268370607,0.11501597444089456,130688,0.21292878016133204,0.0819787751937846,925,0.007077926052889324
313,312,80,1,4,62,71,0.19808306709265175,0.2268370607028754,37,111,0.1182108626198083,0.3546325878594249,56585,0.20931675352833007,0.14350651752106872,527,0.009313422285057878
313,312,80,2,0,72,78,0.23003194888178913,0.24920127795527156,0,0,0.0,0.0,149915,0.24052270727628813,0.0,341,0.0022746222859620453
313,312,80,2,2,72,78,0.23003194888178913,0.24920127795527156,1,14,0.003194888178913738,0.04472843450479233,79409,0.24013868105578848,0.020080774839143525,366,0.004609049352088554
313,312,80,2,3,72,78,0.23003194888178913,0.24920127795527156,15,36,0.04792332268370607,0.11501597444089456,75649,0.23880721696983062,0.07499365342806492,462,0.006107152771351902
313,312,80,2,4,72,78,0.23003194888178913,0.24920127795527156,37,111,0.1182108626198083,0.3546325878594249,9944,0.23697915997317348,0.13668685212269022,135,0.013576025744167337
313,312,80,3,0,79,86,0.2523961661341853,0.2747603833865815,0,0,0.0,0.0,221479,0.26354344501340277,0.0,301,0.0013590453270964742
313,312,80,3,2,79,86,0.2523961661341853,0.2747603833865815,1,14,0.003194888178913738,0.04472843450479233,92744,0.2630957207017745,0.01777451083873112,312,0.003364099025273872
313,312,80,3,3,79,86,0.2523961661341853,0.2747603833865815,15,36,0.04792332268370607,0.11501597444089456,40191,0.26105744431363603,0.06956002341217012,195,0.004851832499813391
313,312,80,3,4,79,86,0.2523961661341853,0.2747603833865815,37,111,0.1182108626198083,0.3546325878594249,2066,0.25973543975331637,0.132442496652016,36,0.017424975798644726
313,312,80,4,0,87,124,0.2779552715654952,0.3961661341853035,0,0,0.0,0.0,212738,0.2953986930243139,0.0,339,0.0015935093871334693
313,312,80,4,2,87,124,0.2779552715654952,0.3961661341853035,1,14,0.003194888178913738,0.04472843450479233,68599,0.2938896127688107,0.014862920299840213,252,0.0036735229376521523
313,312,80,4,3,87,124,0.2779552715654952,0.3961661341853035,15,36,0.04792332268370607,0.11501597444089456,10160,0.2882653895499515,0.0643310860104126,23,0.002263779527559055
313,312,80,4,4,87,124,0.2779552715654952,0.3961661341853035,37,111,0.1182108626198083,0.3546325878594249,223,0.2863364804653362,0.13258069599851,0,0.0
313,1040,40,0,0,18,61,0.05750798722044728,0.19488817891373802,0,0,0.0,0.0,8562,0.18703976930533886,0.0,1952,0.22798411586078018
313,1040,40,0,2,18,61,0.05750798722044728,0.19488817891373802,1,14,0.003194888178913738,0.04472843450479233,9928,0.18476802949285792,0.025181949010510535,3753,0.37802175664786464
313,1040,40,0,3,18,61,0.05750798722044728,0.19488817891373802,15,36,0.04792332268370607,0.11501597444089456,74999,0.1794538943160902,0.0900769837740691,35048,0.4673128975053001
313,1040,40,0,4,18,61,0.05750798722044728,0.19488817891373802,37,111,0.1182108626198083,0.3546325878594249,250280,0.15799207124438858,0.17643349991140553,129849,0.5188149272814447
313,1040,40,1,0,62,71,0.19808306709265175,0.2268370607028754,0,0,0.0,0.0,79691,0.21692188634515466,0.0,17510,0.21972368272452347
313,1040,40,1,2,62,71,0.19808306709265175,0.2268370607028754,1,14,0.003194888178913738,0.04472843450479233,55144,0.21594127764937524,0.022495387041262666,21550,0.3907950094298564
313,1040,40,1,3,62,71,0.19808306709265175,0.2268370607028754,15,36,0.04792332268370607,0.11501597444089456,130337,0.2129318440932133,0.08197719252287824,57157,0.43853241980404645
313,1040,40,1,4,62,71,0.19808306709265175,0.2268370607028754,37,111,0.1182108626198083,0.3546325878594249,56409,0.20932257824623648,0.14349159269613226,27112,0.48063252317892535
313,1040,40,2,0,72,78,0.23003194888178913,0.24920127795527156,0,0,0.0,0.0,149442,0.24052095734352555,0.0,33194,0.22211961831345942
313,1040,40,2,2,72,78,0.23003194888178913,0.24920127795527156,1,14,0.003194888178913738,0.04472843450479233,79231,0.24014783802589929,0.02007967723931932,29559,0.37307367065921165
313,1040,40,2,3,72,78,0.23003194888178913,0.24920127795527156,15,36,0.04792332268370607,0.11501597444089456,75473,0.2388039325491131,0.07499531495702556,31577,0.4183880328064341
313,1040,40,2,4,72,78,0.23003194888178913,0.24920127795527156,37,111,0.1182108626198083,0.3546325878594249,9933,0.23697945564355408,0.1366966985512241,4878,0.4910903050437934
313,1040,40,3,0,79,86,0.2523961661341853,0.2747603833865815,0,0,0.0,0.0,220988,0.2635475096416062,0.0,46203,0.20907470088873603
313,1040,40,3,2,79,86,0.2523961661341853,0.2747603833865815,1,14,0.003194888178913738,0.04472843450479233,92596,0.26309374179246015,0.017767105914916016,33140,0.3578988293230809
313,1040,40,3,3,79,86,0.2523961661341853,0.2747603833865815,15,36,0.04792332268370607,0.11501597444089456,40091,0.2610569739784583,0.06954904429483778,16664,0.41565438627123297
313,1040,40,3,4,79,86,0.2523961661341853,0.2747603833865815,37,111,0.1182108626198083,0.3546325878594249,2066,0.25973543975331637,0.132442496652016,1052,0.5091965150048403
313,1040,40,4,0,87,124,0.2779552715654952,0.3961661341853035,0,0,0.0,0.0,212313,0.29540062535644424,0.0,42197,0.19874901678182683
313,1040,40,4,2,87,124,0.2779552715654952,0.3961661341853035,1,14,0.003194888178913738,0.04472843450479233,68322,0.2938623748678395,0.014853877892444377,23078,0.33778285179005296
313,1040,40,4,3,87,124,0.2779552715654952,0.3961661341853035,15,36,0.04792332268370607,0.11501597444089456,10141,0.28827557005330584,0.06432654208251291,3994,0.3938467606744897
313,1040,40,4,4,87,124,0.2779552715654952,0.3961661341853035,37,111,0.1182108626198083,0.3546325878594249,223,0.2863364804653362,0.13258069599851,119,0.5336322869955157
313,1040,80,0,0,18,61,0.05750798722044728,0.19488817891373802,0,0,0.0,0.0,8562,0.18703976930533886,0.0,100,0.011679514132212099
313,1040,80,0,2,18,61,0.05750798722044728,0.19488817891373802,1,14,0.003194888178913738,0.04472843450479233,9928,0.18476802949285792,0.025181949010510535,190,0.019137792103142627
313,1040,80,0,3,18,61,0.05750798722044728,0.19488817891373802,15,36,0.04792332268370607,0.11501597444089456,74999,0.1794538943160902,0.0900769837740691,1730,0.023066974226323016
313,1040,80,0,4,18,61,0.05750798722044728,0.19488817891373802,37,111,0.1182108626198083,0.3546325878594249,250280,0.15799207124438858,0.17643349991140553,8235,0.03290314847370945
313,1040,80,1,0,62,71,0.19808306709265175,0.2268370607028754,0,0,0.0,0.0,79691,0.21692188634515466,0.0,666,0.008357279993976735
313,1040,80,1,2,62,71,0.19808306709265175,0.2268370607028754,1,14,0.003194888178913738,0.04472843450479233,55144,0.21594127764937524,0.022495387041262666,894,0.01621209923110402
313,1040,80,1,3,62,71,0.19808306709265175,0.2268370607028754,15,36,0.04792332268370607,0.11501597444089456,130337,0.2129318440932133,0.08197719252287824,2451,0.018805097554800247
313,1040,80,1,4,62,71,0.19808306709265175,0.2268370607028754,37,111,0.1182108626198083,0.3546325878594249,56409,0.20932257824623648,0.14349159269613226,1379,0.024446453580102466
313,1040,80,2,0,72,78,0.23003194888178913,0.24920127795527156,0,0,0.0,0.0,149442,0.24052095734352555,0.0,1566,0.010478981812341913
