predictor,Lpred,H,threshold,bin,bin_count_low,bin_count_high,bin_rate_low,bin_rate_high,n,mean_deep_rate,mean_bite_rate,events,hazard
deep_black,313,312,40,0,18,61,0.05750798722044728,0.19488817891373802,345019,0.164171807845963,0.14879617640539367,83850,0.24303009399482348
deep_black,313,312,40,1,62,71,0.19808306709265175,0.2268370607028754,322401,0.21380251230634473,0.06228039609315593,49752,0.15431713921482873
deep_black,313,312,40,2,72,78,0.23003194888178913,0.24920127795527156,314917,0.2399018856032744,0.027394529971028758,34493,0.10953044770526837
deep_black,313,312,40,3,79,86,0.2523961661341853,0.2747603833865815,356480,0.2631246110352069,0.013234381542492757,31023,0.08702592010771992
deep_black,313,312,40,4,87,124,0.2779552715654952,0.3961661341853035,291720,0.2947884618674221,0.005836935413144619,20379,0.06985808309337721
deep_black,313,312,80,0,18,61,0.05750798722044728,0.19488817891373802,345019,0.164171807845963,0.14879617640539367,5529,0.016025204409032545
deep_black,313,312,80,1,62,71,0.19808306709265175,0.2268370607028754,322401,0.21380251230634473,0.06228039609315593,1830,0.005676161054091023
deep_black,313,312,80,2,72,78,0.23003194888178913,0.24920127795527156,314917,0.2399018856032744,0.027394529971028758,1304,0.004140773600663032
deep_black,313,312,80,3,79,86,0.2523961661341853,0.2747603833865815,356480,0.2631246110352069,0.013234381542492757,844,0.002367594254937163
deep_black,313,312,80,4,87,124,0.2779552715654952,0.3961661341853035,291720,0.2947884618674221,0.005836935413144619,614,0.0021047579871109282
deep_black,313,1040,40,0,18,61,0.05750798722044728,0.19488817891373802,343769,0.16417108497979924,0.14883094884549317,170602,0.496269297115214
deep_black,313,1040,40,1,62,71,0.19808306709265175,0.2268370607028754,321581,0.21380356096724135,0.06225294472388393,123329,0.3835083540383294
deep_black,313,1040,40,2,72,78,0.23003194888178913,0.24920127795527156,314079,0.2399022296812822,0.027409863823454166,99208,0.3158695742154044
deep_black,313,1040,40,3,79,86,0.2523961661341853,0.2747603833865815,355741,0.26312658292970637,0.013231760950253003,97059,0.2728361364026075
deep_black,313,1040,40,4,87,124,0.2779552715654952,0.3961661341853035,290999,0.294784221726316,0.0058307678165023585,69388,0.23844755480259383
deep_black,313,1040,80,0,18,61,0.05750798722044728,0.19488817891373802,343769,0.16417108497979924,0.14883094884549317,10255,0.029831078427665088
deep_black,313,1040,80,1,62,71,0.19808306709265175,0.2268370607028754,321581,0.21380356096724135,0.06225294472388393,5390,0.016760940478448665
deep_black,313,1040,80,2,72,78,0.23003194888178913,0.24920127795527156,314079,0.2399022296812822,0.027409863823454166,4241,0.013502972182157992
deep_black,313,1040,80,3,79,86,0.2523961661341853,0.2747603833865815,355741,0.26312658292970637,0.013231760950253003,4557,0.01280988134626034
deep_black,313,1040,80,4,87,124,0.2779552715654952,0.3961661341853035,290999,0.294784221726316,0.0058307678165023585,2737,0.009405530603197949
deep_black,1040,312,40,0,106,214,0.10192307692307692,0.20576923076923076,331416,0.18520396048849647,0.12543363465112828,75154,0.22676636010331427
deep_black,1040,312,40,1,215,238,0.20673076923076922,0.22884615384615384,327822,0.21846864421736964,0.07163853695462423,54364,0.1658338976639762
deep_black,1040,312,40,2,239,256,0.2298076923076923,0.24615384615384617,326955,0.23828203540095172,0.03850853387257805,40555,0.12403847624290805
deep_black,1040,312,40,3,257,272,0.24711538461538463,0.26153846153846155,316287,0.254272686491706,0.018172391992556703,27587,0.08722141599243725
deep_black,1040,312,40,4,273,349,0.2625,0.33557692307692305,323696,0.2741624234086773,0.007467028061461143,20546,0.06347313528743018
deep_black,1040,312,80,0,106,214,0.10192307692307692,0.20576923076923076,331416,0.18520396048849647,0.12543363465112828,4350,0.013125497863712072
deep_black,1040,312,80,1,215,238,0.20673076923076922,0.22884615384615384,327822,0.21846864421736964,0.07163853695462423,2698,0.008230076077871528
deep_black,1040,312,80,2,239,256,0.2298076923076923,0.24615384615384617,326955,0.23828203540095172,0.03850853387257805,1297,0.003966906760869233
deep_black,1040,312,80,3,257,272,0.24711538461538463,0.26153846153846155,316287,0.254272686491706,0.018172391992556703,870,0.0027506663252046403
deep_black,1040,312,80,4,273,349,0.2625,0.33557692307692305,323696,0.2741624234086773,0.007467028061461143,800,0.0024714546982353815
deep_black,1040,1040,40,0,106,214,0.10192307692307692,0.20576923076923076,330479,0.1851930542777002,0.12549774488173063,160845,0.4867026346605987
deep_black,1040,1040,40,1,215,238,0.20673076923076922,0.22884615384615384,327053,0.21847226478703868,0.07163901804671213,132921,0.4064203661180298
deep_black,1040,1040,40,2,239,256,0.2298076923076923,0.24615384615384617,326089,0.2382754902681703,0.038534333005363075,105937,0.3248714308057003
deep_black,1040,1040,40,3,257,272,0.24711538461538463,0.26153846153846155,315176,0.25427256089911254,0.018177276652250957,85134,0.27011574485366907
deep_black,1040,1040,40,4,273,349,0.2625,0.33557692307692305,323011,0.2741728103806022,0.007451306135555683,71892,0.2225682716687667
deep_black,1040,1040,80,0,106,214,0.10192307692307692,0.20576923076923076,330479,0.1851930542777002,0.12549774488173063,9027,0.027314897467010008
deep_black,1040,1040,80,1,215,238,0.20673076923076922,0.22884615384615384,327053,0.21847226478703868,0.07163901804671213,6325,0.01933937312912586
deep_black,1040,1040,80,2,239,256,0.2298076923076923,0.24615384615384617,326089,0.2382754902681703,0.038534333005363075,4234,0.01298418529910546
deep_black,1040,1040,80,3,257,272,0.24711538461538463,0.26153846153846155,315176,0.25427256089911254,0.018177276652250957,3624,0.011498337436860675
deep_black,1040,1040,80,4,273,349,0.2625,0.33557692307692305,323011,0.2741728103806022,0.007451306135555683,3675,0.01137732151536635
deep_black,3120,312,40,0,449,671,0.1439102564102564,0.21506410256410258,325217,0.20066516238519586,0.10430811857140299,67935,0.20889129412054105
