idx,shard,onset,rngstate,seed_side,seed_density,delta4_auto,deep_black_total,deep_black_rate,deep_black_core,deep_black_core_rate,deep_black_tail,deep_black_tail_rate,fresh_bite_total,fresh_bite_rate,fresh_bite_core,fresh_bite_core_rate,fresh_bite_tail,fresh_bite_tail_rate,deep_L313_min_count,deep_L313_min_rate,deep_L313_min_start,bite_L313_min_count,bite_L313_min_rate,bite_L313_min_start,deep_L1040_min_count,deep_L1040_min_rate,deep_L1040_min_start,bite_L1040_min_count,bite_L1040_min_rate,bite_L1040_min_start,deep_L10400_min_count,deep_L10400_min_rate,deep_L10400_min_start,bite_L10400_min_count,bite_L10400_min_rate,bite_L10400_min_start,D40_all_steps,D40_all_rate,D40_all_runs,D40_all_maxD,D40_all_maxD_start,D40_core_steps,D40_core_rate,D40_core_runs,D40_core_maxD,D40_core_maxD_start,D40_tail_steps,D40_tail_rate,D40_tail_runs,D40_tail_maxD,D40_tail_maxD_start,D80_all_steps,D80_all_rate,D80_all_runs,D80_all_maxD,D80_all_maxD_start,D80_core_steps,D80_core_rate,D80_core_runs,D80_core_maxD,D80_core_maxD_start,D80_tail_steps,D80_tail_rate,D80_tail_runs,D80_tail_maxD,D80_tail_maxD_start
0,0,313358,4700473787566636120,19,0.337500,0.006389776358,74523,0.23782063965177208,51258,0.23368133120583542,23265,0.24747893796272658,14593,0.046569738126998515,11670,0.05320264417597447,2923,0.031093098459705558,26,0.08306709265175719,68807,0,0.0,6091,136,0.13076923076923078,2598,0,0.0,17372,2062,0.19826923076923078,3054,7,0.000673076923076923,89003,1425,0.004547514344615424,130,169,151684,909,0.004144062001367677,96,169,151684,516,0.0054888945621649225,34,102,313222,176,0.000561657912036712,6,169,151684,133,0.0006063369044905403,4,169,151684,43,0.00045740788018041017,2,102,313222
1,1,307906,4692330403214779697,19,0.532100,0.006389776358,72430,0.2352341298967867,49572,0.22999619549583825,22858,0.24745593902914303,15187,0.04932349483283859,12439,0.05771247227815565,2748,0.02974927467197852,22,0.07028753993610223,106106,0,0.0,6256,139,0.13365384615384615,49739,0,0.0,19898,2048,0.19692307692307692,56,3,0.0002884615384615385,259487,1493,0.004848882451137685,123,298,293812,965,0.00447725184889623,98,160,164567,528,0.00571601784090417,25,298,293812,378,0.0012276473988814768,6,298,293812,151,0.0007005855224697727,4,160,164567,227,0.002457454639934179,2,298,293812
2,2,302092,694356338346996168,15,0.562900,0.006389776358,70712,0.23407438793480131,48319,0.22849752203684787,22393,0.24708699298230127,15946,0.0527852442302345,13246,0.0626395036507396,2700,0.029792117226464226,23,0.07348242811501597,1386,0,0.0,5654,142,0.13653846153846153,185178,0,0.0,10830,2012,0.19346153846153846,14091,33,0.003173076923076923,217679,1183,0.0039160255816109,140,150,162342,1075,0.0050836076116974995,125,150,162342,108,0.001191684689058569,15,75,301898,116,0.0003839889834884737,4,150,162342,116,0.0005485567283320092,4,150,162342,0,0.0,0,0,
3,3,291397,12567324566037349410,6,0.264700,0.006389776358,67359,0.2311588657398669,46545,0.22818749172700845,20814,0.23809196980096087,16426,0.05636983222202013,12470,0.061134343577952416,3956,0.045252802562342716,21,0.0670926517571885,49857,0,0.0,5516,128,0.12307692307692308,83648,0,0.0,13490,2018,0.19403846153846155,4,65,0.00625,221813,1786,0.006129095357879456,167,268,112525,1440,0.00705961946690068,129,268,112525,346,0.003957904369709449,38,98,252903,277,0.0009505931770059403,6,268,112525,258,0.0012648484878197053,5,268,112525,19,0.00021734156943491192,1,98,252903
4,4,286748,7781527330408340496,19,0.319300,0.006389776358,67629,0.23584820120802935,46332,0.23082556558042674,21297,0.24756756756756756,14276,0.04978587470531617,12015,0.059858611120798315,2261,0.026283057250799186,23,0.07348242811501597,5194,0,0.0,14978,130,0.125,6326,0,0.0,24607,1841,0.17701923076923076,9,2,0.0001923076923076923,253331,1856,0.006472582197609051,147,685,47044,1528,0.007612480881612969,119,685,47044,328,0.0038128451031676836,28,79,284502,645,0.002249361808975128,3,685,47044,645,0.003213383618220134,3,685,47044,0,0.0,0,0,
5,5,285796,16489936061346709332,15,0.323850,0.006389776358,66530,0.2327884225111618,46148,0.2306742578365166,20382,0.23772145697990413,16354,0.057222634326582596,12198,0.060972622802501285,4156,0.048472690374275415,18,0.05750798722044728,254460,0,0.0,11750,106,0.10192307692307692,254460,0,0.0,31331,1868,0.17961538461538462,53880,16,0.0015384615384615385,178937,3236,0.011322761690156615,143,1533,59801,2553,0.01276136301154171,100,1533,59801,683,0.007966036459487515,43,98,285088,1587,0.005552911867205979,9,1533,59801,1552,0.007757789030126414,6,1533,59801,35,0.00040821563115968227,3,98,285088
6,6,276143,5512003509614796496,14,0.417650,0.006389776358,64450,0.23339356782536586,44274,0.22904293843766166,20176,0.24354501889115557,14999,0.0543160608814998,11782,0.06095188825659596,3217,0.03883249037335683,22,0.07028753993610223,66677,0,0.0,7345,138,0.1326923076923077,151901,0,0.0,7345,1971,0.18951923076923077,59,34,0.003269230769230769,225952,1350,0.004888771397428144,133,373,40768,1136,0.005876875323331609,109,373,40768,214,0.0025831995461294255,24,80,220663,306,0.0011081215167503794,4,373,40768,305,0.001577858251422659,3,373,40768,1,1.2071025916492643e-05,1,80,220663
7,7,272174,3981815637707193797,21,0.283600,0.006389776358,63618,0.2337401809136802,43709,0.22941827934978296,19909,0.24382447674917027,14277,0.05245541455098577,11369,0.059673211876905954,2908,0.03561412317979744,25,0.07987220447284345,119,0,0.0,5070,130,0.125,4,0,0.0,37299,2004,0.1926923076923077,5774,79,0.007596153846153846,239769,969,0.0035602225047212444,124,165,24860,725,0.003805354790285585,98,165,24860,244,0.0029882551773970337,26,98,255612,108,0.00039680498504633064,3,165,24860,89,0.0004671401052902305,2,165,24860,19,0.0002326920015186215,1,98,255612
8,8,271114,3955567068357606463,11,0.359200,0.006389776358,64352,0.23736140516535478,44481,0.2343831509281849,19871,0.2443105674064056,13191,0.04865480941596524,10224,0.053873189341286445,2967,0.036478760681133586,24,0.07667731629392971,17891,0,0.0,4403,129,0.12403846153846154,17665,0,0.0,27495,1908,0.18346153846153845,22,6,0.000576923076923077,257728,1206,0.0044483132556784235,116,102,33596,757,0.003988850188903935,86,102,33596,449,0.005520378680764738,30,99,257589,102,0.00037622549923648353,6,102,33596,72,0.0003793886573330031,4,102,33596,30,0.00036884490071924757,2,99,257589
9,9,270625,16992346564080444118,21,0.349750,0.006389776358,62820,0.23212933025404156,43515,0.22970697382243174,19305,0.23778144553382274,14620,0.05402309468822171,11351,0.05991965666686022,3269,0.04026457111888456,22,0.07028753993610223,695,0,0.0,8859,134,0.12884615384615383,6227,0,0.0,41289,1985,0.1908653846153846,26486,77,0.007403846153846154,231354,2001,0.007393995381062356,145,492,34660,1358,0.0071686101447974784,106,492,34660,643,0.007919889638862886,39,103,270405,623,0.002302078521939954,12,492,34660,510,0.0026921879041581108,6,492,34660,113,0.001391831305118983,6,103,270405
