idx,onset,kind,L,min_count,min_start,min_rate,median_rate,mean_rate
0,313358,deep_black,313,26,68807,0.08306709265175719,0.24281150159744408,0.23789352559501967
0,313358,fresh_bite,313,0,6091,0.0,0.006389776357827476,0.046379969390324675
0,313358,deep_black,1040,136,2598,0.13076923076923078,0.2423076923076923,0.23801390996434366
0,313358,fresh_bite,1040,0,17372,0.0,0.03653846153846154,0.046173143484706344
0,313358,deep_black,10400,2062,3054,0.19826923076923078,0.24153846153846154,0.23869201709700755
0,313358,fresh_bite,10400,7,89003,0.000673076923076923,0.04375,0.04517949115734625
1,307906,deep_black,313,22,106106,0.07028753993610223,0.23961661341853036,0.23524305232774267
1,307906,fresh_bite,313,0,6256,0.0,0.006389776357827476,0.04919043838979397
1,307906,deep_black,1040,139,49739,0.13365384615384615,0.2403846153846154,0.23533858065796984
1,307906,fresh_bite,1040,0,19898,0.0,0.0375,0.04898846180166752
1,307906,deep_black,10400,2048,56,0.19692307692307692,0.23653846153846153,0.23583954327125076
1,307906,fresh_bite,10400,3,259487,0.0002884615384615385,0.045384615384615384,0.04803299392309063
2,302092,deep_black,313,23,1386,0.07348242811501597,0.23961661341853036,0.23410317102550426
2,302092,fresh_bite,313,0,5654,0.0,0.012779552715654952,0.052625137707959395
2,302092,deep_black,1040,142,185178,0.13653846153846153,0.23846153846153847,0.23412136861155805
2,302092,fresh_bite,1040,0,10830,0.0,0.04038461538461539,0.052459782828937096
2,302092,deep_black,10400,2012,14091,0.19346153846153846,0.2353846153846154,0.23427330143467487
2,302092,fresh_bite,10400,33,217679,0.003173076923076923,0.05096153846153846,0.051790055746175706
3,291397,deep_black,313,21,49857,0.0670926517571885,0.2364217252396166,0.23125071171146006
3,291397,fresh_bite,313,0,5516,0.0,0.019169329073482427,0.05620850842235569
3,291397,deep_black,1040,128,83648,0.12307692307692308,0.23653846153846153,0.23141086904918967
3,291397,fresh_bite,1040,0,13490,0.0,0.04423076923076923,0.055896530516439384
3,291397,deep_black,10400,2018,4,0.19403846153846155,0.23307692307692307,0.23216264747572798
3,291397,fresh_bite,10400,65,221813,0.00625,0.050673076923076925,0.054773978681479804
4,286748,deep_black,313,23,5194,0.07348242811501597,0.23961661341853036,0.23589380955336214
4,286748,fresh_bite,313,0,14978,0.0,0.003194888178913738,0.04964315888863453
4,286748,deep_black,1040,130,6326,0.125,0.2403846153846154,0.23599063073051466
4,286748,fresh_bite,1040,0,24607,0.0,0.032692307692307694,0.049347328790967246
4,286748,deep_black,10400,1841,9,0.17701923076923076,0.2401923076923077,0.23725903031757223
4,286748,fresh_bite,10400,2,253331,0.0001923076923076923,0.041442307692307695,0.04722136299500882
5,285796,deep_black,313,18,254460,0.05750798722044728,0.23961661341853036,0.23282327376952086
5,285796,fresh_bite,313,0,11750,0.0,0.01597444089456869,0.05709714969562592
5,285796,deep_black,1040,106,254460,0.10192307692307692,0.23846153846153847,0.2330238285490922
5,285796,fresh_bite,1040,0,31331,0.0,0.041346153846153845,0.05671237635544044
5,285796,deep_black,10400,1868,53880,0.17961538461538462,0.23701923076923076,0.23364249994623146
5,285796,fresh_bite,10400,16,178937,0.0015384615384615385,0.048846153846153845,0.05554915197947802
6,276143,deep_black,313,22,66677,0.07028753993610223,0.23961661341853036,0.23339373325355273
6,276143,fresh_bite,313,0,7345,0.0,0.01597444089456869,0.05416288204347194
6,276143,deep_black,1040,138,151901,0.1326923076923077,0.2375,0.2334665463578529
6,276143,fresh_bite,1040,0,7345,0.0,0.04423076923076923,0.05396050920043664
6,276143,deep_black,10400,1971,59,0.18951923076923077,0.23567307692307693,0.234417458806509
6,276143,fresh_bite,10400,34,225952,0.003269230769230769,0.04740384615384615,0.052640125459088444
7,272174,deep_black,313,25,119,0.07987220447284345,0.23961661341853036,0.2338016212557381
7,272174,fresh_bite,313,0,5070,0.0,0.012779552715654952,0.052252055244247086
7,272174,deep_black,1040,130,4,0.125,0.23942307692307693,0.2339496326695047
7,272174,fresh_bite,1040,0,37299,0.0,0.03942307692307692,0.05192891775456734
7,272174,deep_black,10400,2004,5774,0.1926923076923077,0.23576923076923076,0.23455463918661798
