class_rank,phase,comoving_rel_x,comoving_rel_y,required_black,first_bad_count,read_events,pass_events,fail_events,pass_rate,attempts_with_class,attempts_all_pass,attempts_any_fail,attempts_mixed_pass_fail,pre_onset_events,pre_onset_pass_events,pre_onset_fail_events,entry_events,entry_pass_events,entry_fail_events,first_bad_events,unique_abs_cells,first_bad_abs_cells,pass_abs_cells,fail_abs_cells,actual_black_values,offset_mod_values,comoving_linf,raw_linf_min,raw_linf_max,top_abs_cells
1,0,-5,-2,0,78,4710,4224,486,0.8968152866242038,314,157,157,155,4560,4074,486,150,150,0,78,4118,78,3718,455,0;1,45,5,5,33,"17,66:5;1,50:4;3,52:4;5,54:4;7,56:4;9,58:4;11,60:4;13,62:4"
2,103,3,-5,0,49,1920,1751,169,0.9119791666666667,128,58,70,70,1875,1706,169,45,45,0,49,1830,49,1683,168,0;1,46,5,5,33,"-10,-38:2;-12,-36:2;-14,-34:2;-16,-32:2;-68,-83:2;-70,-85:2;-72,-87:2;40,6:2"
3,0,-5,0,1,39,314,150,164,0.47770700636942676,314,150,164,0,304,140,164,10,10,0,39,312,39,150,164,0;1,77,5,5,5,"-35,11:2;1,48:2;25,-17:1;30,10:1;30,-13:1;21,-32:1;15,-36:1;-25,26:1"
4,103,3,-4,1,35,128,88,40,0.6875,128,88,40,0,125,85,40,3,3,0,35,128,35,88,40,0;1,45,4,4,4,"22,32:1;48,-23:1;9,47:1;12,-61:1;64,-45:1;-34,11:1;-33,-15:1;87,-8:1"
5,0,-8,-1,0,30,4710,4182,528,0.8878980891719745,314,161,153,153,4560,4032,528,150,150,0,30,4125,30,3669,512,0;1,71,8,8,36,"20,65:5;4,49:4;6,51:4;8,53:4;10,55:4;12,57:4;14,59:4;16,61:4"
6,30,0,-3,1,28,83,20,63,0.24096385542168675,83,20,63,0,83,20,63,0,0,0,28,82,28,19,63,0;1,71,3,3,3,"3,32:2;20,-14:1;-17,-14:1;-12,14:1;-16,18:1;-8,49:1;-27,51:1;38,-56:1"
7,0,-3,1,1,24,314,189,125,0.6019108280254777,314,189,125,0,304,179,125,10,10,0,24,312,24,188,125,0;1,98,3,3,3,"-34,9:2;-1,47:2;24,-15:1;29,12:1;32,-12:1;23,-31:1;17,-35:1;-27,25:1"
8,0,-4,-1,0,22,314,292,22,0.9299363057324841,314,292,22,0,304,282,22,10,10,0,22,312,22,290,22,0;1,43,4,4,4,"-36,10:2;0,49:2;26,-16:1;31,11:1;31,-14:1;22,-33:1;16,-37:1;-26,27:1"
9,0,-6,0,1,21,314,209,105,0.6656050955414012,314,209,105,0,304,199,105,10,10,0,21,312,21,208,105,0;1,76,6,6,6,"-35,12:2;2,48:2;25,-18:1;30,9:1;29,-13:1;20,-32:1;14,-36:1;-24,26:1"
10,30,4,-3,1,20,83,53,30,0.6385542168674698,83,53,30,0,83,53,30,0,0,0,20,83,20,53,30,0;1,47,4,4,4,"20,-18:1;-21,-14:1;-12,18:1;-16,22:1;-4,49:1;-27,55:1;38,-60:1;17,4:1"
