attempt_id,idx,shard,onset,rngstate,threshold,start,time_frac,kind,actual_ok,actual_phase,depth,death_step,origin_x,origin_y,heading,observed_turn_bit,horizon,actual_h,actual_clear,actual_bad_kind,actual_first_bad_offset,best_h,best_phase,best_phase_count,actual_is_best,compatible_phase_count,compatible_best_h,compatible_best_phase,compatible_best_phase_count,actual_is_compatible_best,compatible_clear_phase_count,clear_phase_count,any_clear,median_h,compatible_median_h,min_h
0:0,0,0,313358,4700473787566636120,40,11757,0.03751938677167967,pre_onset_lock,0,30,71,11828,23,-14,3,1,208,71,0,missing_black,71,71,30,1,1,11,71,30,1,1,0,0,0,0.5,2,0
0:0,0,0,313358,4700473787566636120,40,11757,0.03751938677167967,pre_onset_lock,0,30,71,11828,23,-14,3,1,512,71,0,missing_black,71,71,30,1,1,11,71,30,1,1,0,0,0,0.5,2,0
0:0,0,0,313358,4700473787566636120,40,11757,0.03751938677167967,pre_onset_lock,0,30,71,11828,23,-14,3,1,1600,71,0,missing_black,71,71,30,1,1,11,71,30,1,1,0,0,0,0.5,2,0
0:1,0,0,313358,4700473787566636120,40,15538,0.04958545816605927,pre_onset_lock,0,30,47,15585,-17,-17,2,1,208,47,0,missing_black,47,47,30,1,1,11,47,30,1,1,0,0,0,0.5,2,0
0:1,0,0,313358,4700473787566636120,40,15538,0.04958545816605927,pre_onset_lock,0,30,47,15585,-17,-17,2,1,512,47,0,missing_black,47,47,30,1,1,11,47,30,1,1,0,0,0,0.5,2,0
0:1,0,0,313358,4700473787566636120,40,15538,0.04958545816605927,pre_onset_lock,0,30,47,15585,-17,-17,2,1,1600,47,0,missing_black,47,47,30,1,1,11,47,30,1,1,0,0,0,0.5,2,0
0:2,0,0,313358,4700473787566636120,40,26449,0.08440505747419884,pre_onset_lock,0,0,71,26520,25,-12,1,0,208,71,0,frontier_black_collision,71,71,0,1,1,11,71,0,1,1,0,0,0,0.5,2,0
0:2,0,0,313358,4700473787566636120,40,26449,0.08440505747419884,pre_onset_lock,0,0,71,26520,25,-12,1,0,512,71,0,frontier_black_collision,71,71,0,1,1,11,71,0,1,1,0,0,0,0.5,2,0
0:2,0,0,313358,4700473787566636120,40,26449,0.08440505747419884,pre_onset_lock,0,0,71,26520,25,-12,1,0,1600,71,0,frontier_black_collision,71,71,0,1,1,11,71,0,1,1,0,0,0,0.5,2,0
0:3,0,0,313358,4700473787566636120,40,28939,0.09235124043426368,pre_onset_lock,0,0,56,28995,30,15,1,0,208,56,0,frontier_black_collision,56,56,0,1,1,11,56,0,1,1,0,0,0,0.5,2,0
0:3,0,0,313358,4700473787566636120,40,28939,0.09235124043426368,pre_onset_lock,0,0,56,28995,30,15,1,0,512,56,0,frontier_black_collision,56,56,0,1,1,11,56,0,1,1,0,0,0,0.5,2,0
0:3,0,0,313358,4700473787566636120,40,28939,0.09235124043426368,pre_onset_lock,0,0,56,28995,30,15,1,0,1600,56,0,frontier_black_collision,56,56,0,1,1,11,56,0,1,1,0,0,0,0.5,2,0
0:4,0,0,313358,4700473787566636120,80,34567,0.11031152866689219,pre_onset_lock,0,103,99,34666,18,29,1,1,208,99,0,missing_black,99,99,103,1,1,11,99,103,1,1,0,0,0,0.5,2,0
0:4,0,0,313358,4700473787566636120,80,34567,0.11031152866689219,pre_onset_lock,0,103,99,34666,18,29,1,1,512,99,0,missing_black,99,99,103,1,1,11,99,103,1,1,0,0,0,0.5,2,0
0:4,0,0,313358,4700473787566636120,80,34567,0.11031152866689219,pre_onset_lock,0,103,99,34666,18,29,1,1,1600,99,0,missing_black,99,99,103,1,1,11,99,103,1,1,0,0,0,0.5,2,0
0:5,0,0,313358,4700473787566636120,40,36426,0.11624404036277995,pre_onset_lock,0,0,56,36482,35,-13,0,0,208,56,0,frontier_black_collision,56,56,0,1,1,11,56,0,1,1,0,0,0,0.5,2,0
0:5,0,0,313358,4700473787566636120,40,36426,0.11624404036277995,pre_onset_lock,0,0,56,36482,35,-13,0,0,512,56,0,frontier_black_collision,56,56,0,1,1,11,56,0,1,1,0,0,0,0.5,2,0
0:5,0,0,313358,4700473787566636120,40,36426,0.11624404036277995,pre_onset_lock,0,0,56,36482,35,-13,0,0,1600,56,0,frontier_black_collision,56,56,0,1,1,11,56,0,1,1,0,0,0,0.5,2,0
0:6,0,0,313358,4700473787566636120,40,40486,0.1292004671972632,pre_onset_lock,0,103,45,40531,45,-19,0,1,208,45,0,missing_black,45,45,103,1,1,11,45,103,1,1,0,0,0,0.5,2,0
0:6,0,0,313358,4700473787566636120,40,40486,0.1292004671972632,pre_onset_lock,0,103,45,40531,45,-19,0,1,512,45,0,missing_black,45,45,103,1,1,11,45,103,1,1,0,0,0,0.5,2,0
0:6,0,0,313358,4700473787566636120,40,40486,0.1292004671972632,pre_onset_lock,0,103,45,40531,45,-19,0,1,1600,45,0,missing_black,45,45,103,1,1,11,45,103,1,1,0,0,0,0.5,2,0
0:7,0,0,313358,4700473787566636120,40,42636,0.13606162919089348,pre_onset_lock,0,0,45,42681,26,-32,0,0,208,45,0,frontier_black_collision,45,45,0,1,1,11,45,0,1,1,0,0,0,0.5,2,0
0:7,0,0,313358,4700473787566636120,40,42636,0.13606162919089348,pre_onset_lock,0,0,45,42681,26,-32,0,0,512,45,0,frontier_black_collision,45,45,0,1,1,11,45,0,1,1,0,0,0,0.5,2,0
0:7,0,0,313358,4700473787566636120,40,42636,0.13606162919089348,pre_onset_lock,0,0,45,42681,26,-32,0,0,1600,45,0,frontier_black_collision,45,45,0,1,1,11,45,0,1,1,0,0,0,0.5,2,0
0:8,0,0,313358,4700473787566636120,40,44096,0.14072083687028894,pre_onset_lock,0,0,77,44173,20,-36,0,0,208,77,0,missing_black,77,77,0,1,1,11,77,0,1,1,0,0,0,0.5,2,0
0:8,0,0,313358,4700473787566636120,40,44096,0.14072083687028894,pre_onset_lock,0,0,77,44173,20,-36,0,0,512,77,0,missing_black,77,77,0,1,1,11,77,0,1,1,0,0,0,0.5,2,0
0:8,0,0,313358,4700473787566636120,40,44096,0.14072083687028894,pre_onset_lock,0,0,77,44173,20,-36,0,0,1600,77,0,missing_black,77,77,0,1,1,11,77,0,1,1,0,0,0,0.5,2,0
0:9,0,0,313358,4700473787566636120,40,47451,0.15142744081848875,pre_onset_lock,0,101,49,47500,24,-25,3,0,208,49,0,frontier_black_collision,49,49,101,1,1,11,49,101,1,1,0,0,0,0.5,1,0
0:9,0,0,313358,4700473787566636120,40,47451,0.15142744081848875,pre_onset_lock,0,101,49,47500,24,-25,3,0,512,49,0,frontier_black_collision,49,49,101,1,1,11,49,101,1,1,0,0,0,0.5,1,0
0:9,0,0,313358,4700473787566636120,40,47451,0.15142744081848875,pre_onset_lock,0,101,49,47500,24,-25,3,0,1600,49,0,frontier_black_collision,49,49,101,1,1,11,49,101,1,1,0,0,0,0.5,1,0
0:10,0,0,313358,4700473787566636120,40,59442,0.18969357731412634,pre_onset_lock,0,24,48,59490,-17,21,2,0,208,48,0,frontier_black_collision,48,48,24,1,1,11,48,24,1,1,0,0,0,0.5,2,0
0:10,0,0,313358,4700473787566636120,40,59442,0.18969357731412634,pre_onset_lock,0,24,48,59490,-17,21,2,0,512,48,0,frontier_black_collision,48,48,24,1,1,11,48,24,1,1,0,0,0,0.5,2,0
0:10,0,0,313358,4700473787566636120,40,59442,0.18969357731412634,pre_onset_lock,0,24,48,59490,-17,21,2,0,1600,48,0,frontier_black_collision,48,48,24,1,1,11,48,24,1,1,0,0,0,0.5,2,0
0:11,0,0,313358,4700473787566636120,40,115204,0.3676433982856669,pre_onset_lock,0,0,43,115247,-30,26,2,0,208,43,0,frontier_black_collision,43,43,0,1,1,11,43,0,1,1,0,0,0,0.5,2,0
0:11,0,0,313358,4700473787566636120,40,115204,0.3676433982856669,pre_onset_lock,0,0,43,115247,-30,26,2,0,512,43,0,frontier_black_collision,43,43,0,1,1,11,43,0,1,1,0,0,0,0.5,2,0
0:11,0,0,313358,4700473787566636120,40,115204,0.3676433982856669,pre_onset_lock,0,0,43,115247,-30,26,2,0,1600,43,0,frontier_black_collision,43,43,0,1,1,11,43,0,1,1,0,0,0,0.5,2,0
0:12,0,0,313358,4700473787566636120,40,146641,0.467966351585088,pre_onset_lock,0,103,46,146687,5,44,1,1,208,46,0,frontier_black_collision,46,46,103,1,1,11,46,103,1,1,0,0,0,0.5,2,0
