idx,horizon,attempts,entries,failures,any_clear,any_clear_rate,actual_is_best,actual_is_best_rate,clear_phase_count_total,best_h,actual_h
0,208,35,1,34,1,0.02857142857142857,35,1.0,1,"{'min': 43, 'q25': 45.0, 'median': 56, 'q75': 77.0, 'max': 209, 'mean': 69.62857142857143}","{'min': 43, 'q25': 45.0, 'median': 56, 'q75': 77.0, 'max': 209, 'mean': 69.62857142857143}"
0,512,35,1,34,1,0.02857142857142857,35,1.0,1,"{'min': 43, 'q25': 45.0, 'median': 56, 'q75': 77.0, 'max': 513, 'mean': 78.31428571428572}","{'min': 43, 'q25': 45.0, 'median': 56, 'q75': 77.0, 'max': 513, 'mean': 78.31428571428572}"
0,1600,35,1,34,1,0.02857142857142857,35,1.0,1,"{'min': 43, 'q25': 45.0, 'median': 56, 'q75': 77.0, 'max': 1601, 'mean': 109.4}","{'min': 43, 'q25': 45.0, 'median': 56, 'q75': 77.0, 'max': 1601, 'mean': 109.4}"
1,208,29,1,28,2,0.06896551724137931,29,1.0,2,"{'min': 45, 'q25': 45.0, 'median': 61, 'q75': 78.0, 'max': 209, 'mean': 75.75862068965517}","{'min': 45, 'q25': 45.0, 'median': 61, 'q75': 78.0, 'max': 209, 'mean': 75.75862068965517}"
1,512,29,1,28,1,0.034482758620689655,29,1.0,1,"{'min': 45, 'q25': 45.0, 'median': 61, 'q75': 78.0, 'max': 513, 'mean': 89.3103448275862}","{'min': 45, 'q25': 45.0, 'median': 61, 'q75': 78.0, 'max': 513, 'mean': 89.3103448275862}"
1,1600,29,1,28,1,0.034482758620689655,29,1.0,1,"{'min': 45, 'q25': 45.0, 'median': 61, 'q75': 78.0, 'max': 1601, 'mean': 126.82758620689656}","{'min': 45, 'q25': 45.0, 'median': 61, 'q75': 78.0, 'max': 1601, 'mean': 126.82758620689656}"
2,208,30,1,29,1,0.03333333333333333,30,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 49.5, 'q75': 74.25, 'max': 209, 'mean': 65.96666666666667}","{'min': 40, 'q25': 45.0, 'median': 49.5, 'q75': 74.25, 'max': 209, 'mean': 65.96666666666667}"
2,512,30,1,29,1,0.03333333333333333,30,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 49.5, 'q75': 74.25, 'max': 513, 'mean': 76.1}","{'min': 40, 'q25': 45.0, 'median': 49.5, 'q75': 74.25, 'max': 513, 'mean': 76.1}"
2,1600,30,1,29,1,0.03333333333333333,30,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 49.5, 'q75': 74.25, 'max': 1601, 'mean': 112.36666666666666}","{'min': 40, 'q25': 45.0, 'median': 49.5, 'q75': 74.25, 'max': 1601, 'mean': 112.36666666666666}"
3,208,41,1,40,2,0.04878048780487805,41,1.0,2,"{'min': 40, 'q25': 46.0, 'median': 68, 'q75': 76.5, 'max': 209, 'mean': 70.17073170731707}","{'min': 40, 'q25': 46.0, 'median': 68, 'q75': 76.5, 'max': 209, 'mean': 70.17073170731707}"
3,512,41,1,40,1,0.024390243902439025,41,1.0,1,"{'min': 40, 'q25': 46.0, 'median': 68, 'q75': 76.5, 'max': 513, 'mean': 79.02439024390245}","{'min': 40, 'q25': 46.0, 'median': 68, 'q75': 76.5, 'max': 513, 'mean': 79.02439024390245}"
3,1600,41,1,40,1,0.024390243902439025,41,1.0,1,"{'min': 40, 'q25': 46.0, 'median': 68, 'q75': 76.5, 'max': 1601, 'mean': 105.5609756097561}","{'min': 40, 'q25': 46.0, 'median': 68, 'q75': 76.5, 'max': 1601, 'mean': 105.5609756097561}"
4,208,36,1,35,2,0.05555555555555555,36,1.0,2,"{'min': 40, 'q25': 45.25, 'median': 56.5, 'q75': 76.25, 'max': 209, 'mean': 67.69444444444444}","{'min': 40, 'q25': 45.25, 'median': 56.5, 'q75': 76.25, 'max': 209, 'mean': 67.69444444444444}"
4,512,36,1,35,2,0.05555555555555555,36,1.0,2,"{'min': 40, 'q25': 45.25, 'median': 56.5, 'q75': 76.25, 'max': 513, 'mean': 84.58333333333333}","{'min': 40, 'q25': 45.25, 'median': 56.5, 'q75': 76.25, 'max': 513, 'mean': 84.58333333333333}"
4,1600,36,1,35,1,0.027777777777777776,36,1.0,1,"{'min': 40, 'q25': 45.25, 'median': 56.5, 'q75': 76.25, 'max': 1601, 'mean': 119.58333333333333}","{'min': 40, 'q25': 45.25, 'median': 56.5, 'q75': 76.25, 'max': 1601, 'mean': 119.58333333333333}"
5,208,48,1,47,2,0.041666666666666664,48,1.0,2,"{'min': 40, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 209, 'mean': 70.5}","{'min': 40, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 209, 'mean': 70.5}"
5,512,48,1,47,2,0.041666666666666664,48,1.0,2,"{'min': 40, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 513, 'mean': 83.16666666666667}","{'min': 40, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 513, 'mean': 83.16666666666667}"
5,1600,48,1,47,1,0.020833333333333332,48,1.0,1,"{'min': 40, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 1601, 'mean': 127.08333333333333}","{'min': 40, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 1601, 'mean': 127.08333333333333}"
6,208,37,1,36,2,0.05405405405405406,37,1.0,2,"{'min': 40, 'q25': 45.0, 'median': 52, 'q75': 75.5, 'max': 209, 'mean': 65.45945945945945}","{'min': 40, 'q25': 45.0, 'median': 52, 'q75': 75.5, 'max': 209, 'mean': 65.45945945945945}"
