sample,frame,depth,count,linf_min,linf_q25,linf_median,linf_q75,linf_max,linf_mean,l1_max,missing_black,frontier_black_collision,other_bad_kind
attempts,raw,40,21,4.0,4.0,6.0,6.0,6.0,5.333333333333333,8,0,21,0
attempts,raw,41,7,5.0,6.0,7.0,7.0,7.0,6.428571428571429,9,0,7,0
attempts,raw,42,1,5.0,5.0,5.0,5.0,5.0,5.0,8,0,1,0
attempts,raw,43,22,4.0,4.0,4.0,4.0,4.0,4.0,5,0,22,0
attempts,raw,44,26,4.0,4.0,4.0,4.0,6.0,4.153846153846154,8,11,15,0
attempts,raw,45,137,4.0,4.0,5.0,5.0,7.0,4.824817518248175,9,39,98,0
attempts,raw,46,78,3.0,5.0,5.0,5.0,7.0,4.897435897435898,8,16,62,0
attempts,raw,47,45,4.0,4.0,6.0,6.0,8.0,5.488888888888889,9,20,25,0
attempts,raw,48,3,4.0,5.0,6.0,7.0,8.0,6.0,10,1,2,0
attempts,raw,49,13,5.0,5.0,5.0,5.0,6.0,5.230769230769231,11,1,12,0
attempts,raw,50,6,5.0,5.0,5.0,5.0,5.0,5.0,10,3,3,0
attempts,raw,51,3,5.0,5.0,5.0,5.5,6.0,5.333333333333333,9,1,2,0
attempts,raw,52,10,4.0,4.5,6.0,6.0,6.0,5.4,8,9,1,0
attempts,raw,53,7,5.0,5.0,5.0,5.0,5.0,5.0,7,7,0,0
attempts,raw,54,2,5.0,5.5,6.0,6.5,7.0,6.0,8,1,1,0
attempts,raw,55,5,6.0,6.0,6.0,6.0,6.0,6.0,9,0,5,0
attempts,raw,56,7,2.0,4.0,6.0,6.0,6.0,4.857142857142857,10,2,5,0
attempts,raw,57,2,4.0,4.25,4.5,4.75,5.0,4.5,9,1,1,0
attempts,raw,58,2,5.0,5.5,6.0,6.5,7.0,6.0,12,0,2,0
attempts,raw,59,6,3.0,3.0,3.0,3.0,6.0,3.5,9,0,6,0
attempts,raw,61,20,5.0,7.0,7.0,7.0,7.0,6.7,9,3,17,0
attempts,raw,62,6,7.0,7.0,7.0,7.0,7.0,7.0,10,0,6,0
attempts,raw,63,3,8.0,8.0,8.0,8.0,8.0,8.0,11,0,3,0
attempts,raw,64,1,6.0,6.0,6.0,6.0,6.0,6.0,8,0,1,0
attempts,raw,65,1,7.0,7.0,7.0,7.0,7.0,7.0,11,0,1,0
attempts,raw,67,13,4.0,4.0,4.0,4.0,7.0,4.230769230769231,13,12,1,0
attempts,raw,68,14,4.0,4.0,4.0,4.0,6.0,4.142857142857143,12,13,1,0
attempts,raw,69,3,4.0,4.0,4.0,4.0,4.0,4.0,5,3,0,0
attempts,raw,70,21,3.0,7.0,7.0,7.0,7.0,6.0476190476190474,8,5,16,0
attempts,raw,71,58,2.0,3.0,5.0,8.0,8.0,5.4655172413793105,9,29,29,0
attempts,raw,72,10,4.0,8.0,8.0,8.0,8.0,7.6,10,1,9,0
attempts,raw,73,9,3.0,3.0,3.0,9.0,9.0,5.666666666666667,11,5,4,0
attempts,raw,74,17,3.0,3.0,3.0,3.0,9.0,3.3529411764705883,12,16,1,0
attempts,raw,75,8,2.0,3.0,3.0,7.25,8.0,4.625,11,4,4,0
attempts,raw,76,32,2.0,6.0,6.0,6.0,8.0,5.5625,12,23,9,0
attempts,raw,77,56,2.0,2.0,5.0,5.0,6.0,4.160714285714286,7,56,0,0
attempts,raw,78,3,5.0,5.0,5.0,6.0,7.0,5.666666666666667,10,2,1,0
attempts,raw,79,3,6.0,6.0,6.0,6.5,7.0,6.333333333333333,9,3,0,0
attempts,raw,80,2,6.0,6.0,6.0,6.0,6.0,6.0,8,2,0,0
attempts,raw,81,2,5.0,5.25,5.5,5.75,6.0,5.5,9,2,0,0
attempts,raw,82,6,5.0,5.0,5.0,5.0,5.0,5.0,8,6,0,0
attempts,raw,84,1,4.0,4.0,4.0,4.0,4.0,4.0,6,1,0,0
attempts,raw,86,1,1.0,1.0,1.0,1.0,1.0,1.0,2,1,0,0
attempts,raw,87,2,2.0,2.0,2.0,2.0,2.0,2.0,3,0,2,0
attempts,raw,89,7,2.0,2.0,2.0,7.0,7.0,4.142857142857143,7,4,3,0
attempts,raw,95,2,3.0,3.0,3.0,3.0,3.0,3.0,5,0,2,0
attempts,raw,98,24,3.0,3.0,3.0,3.0,3.0,3.0,4,24,0,0
attempts,raw,99,26,2.0,2.0,2.0,3.0,3.0,2.3461538461538463,3,26,0,0
attempts,raw,100,9,2.0,4.0,4.0,4.0,4.0,3.7777777777777777,4,9,0,0
attempts,raw,102,3,3.0,3.0,3.0,3.0,3.0,3.0,4,3,0,0
attempts,raw,103,2,3.0,3.0,3.0,3.0,3.0,3.0,5,2,0,0
attempts,raw,134,1,7.0,7.0,7.0,7.0,7.0,7.0,10,0,1,0
