attempt_id,idx,shard,onset,rngstate,threshold,start,time_frac,actual_phase,depth,first_bad_offset,depth_minus_offset,eval_phase,bad_kind,rel_x,rel_y,l1,linf,period_index,offset_mod_period,phase_drift_x,phase_drift_y,comoving_rel_x,comoving_rel_y,comoving_l1,comoving_linf,linear_linf_residual,required_black,actual_black,origin_x,origin_y,heading,abs_x,abs_y,depth_bin,physical_key,is_physical_first
0:0,0,0,313358,4700473787566636120,40,11757,0.03751938677167967,30,71,71,0,30,missing_black,0,-3,3,3,0,71,2,2,0,-3,3,3,1.6346153846153846,1,0,23,-14,3,20,-14,40-77,0:11757:30:23:-14:3:71:0:-3:missing_black:1:0,1
0:1,0,0,313358,4700473787566636120,40,15538,0.04958545816605927,30,47,47,0,30,missing_black,4,-3,7,4,0,47,2,2,4,-3,7,4,3.0961538461538463,1,0,-17,-17,2,-21,-14,40-77,0:15538:30:-17:-17:2:47:4:-3:missing_black:1:0,1
0:2,0,0,313358,4700473787566636120,40,26449,0.08440505747419884,0,71,71,0,0,frontier_black_collision,-8,-1,9,8,0,71,-2,-2,-8,-1,9,8,6.634615384615385,0,1,25,-12,1,26,-20,40-77,0:26449:0:25:-12:1:71:-8:-1:frontier_black_collision:0:1,1
0:3,0,0,313358,4700473787566636120,40,28939,0.09235124043426368,0,56,56,0,0,frontier_black_collision,-6,-4,10,6,0,56,-2,-2,-6,-4,10,6,4.923076923076923,0,1,30,15,1,34,9,40-77,0:28939:0:30:15:1:56:-6:-4:frontier_black_collision:0:1,1
0:4,0,0,313358,4700473787566636120,80,34567,0.11031152866689219,103,99,99,0,103,missing_black,0,-3,3,3,0,99,2,-2,0,-3,3,3,1.0961538461538463,1,0,18,29,1,21,29,78-103,0:34567:103:18:29:1:99:0:-3:missing_black:1:0,1
0:5,0,0,313358,4700473787566636120,40,36426,0.11624404036277995,0,56,56,0,0,frontier_black_collision,-6,-4,10,6,0,56,-2,-2,-6,-4,10,6,4.923076923076923,0,1,35,-13,0,29,-17,40-77,0:36426:0:35:-13:0:56:-6:-4:frontier_black_collision:0:1,1
0:6,0,0,313358,4700473787566636120,40,40486,0.1292004671972632,103,45,45,0,103,missing_black,3,-4,7,4,0,45,2,-2,3,-4,7,4,3.1346153846153846,1,0,45,-19,0,48,-23,40-77,0:40486:103:45:-19:0:45:3:-4:missing_black:1:0,1
0:7,0,0,313358,4700473787566636120,40,42636,0.13606162919089348,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,26,-32,0,21,-34,40-77,0:42636:0:26:-32:0:45:-5:-2:frontier_black_collision:0:1,1
0:8,0,0,313358,4700473787566636120,40,44096,0.14072083687028894,0,77,77,0,0,missing_black,-5,0,5,5,0,77,-2,-2,-5,0,5,5,3.519230769230769,1,0,20,-36,0,15,-36,40-77,0:44096:0:20:-36:0:77:-5:0:missing_black:1:0,1
0:9,0,0,313358,4700473787566636120,40,47451,0.15142744081848875,101,49,49,0,101,frontier_black_collision,-5,6,11,6,0,49,-2,2,-5,6,11,6,5.0576923076923075,0,1,24,-25,3,30,-20,40-77,0:47451:101:24:-25:3:49:-5:6:frontier_black_collision:0:1,1
0:10,0,0,313358,4700473787566636120,40,59442,0.18969357731412634,24,48,48,0,24,frontier_black_collision,-8,0,8,8,0,48,-2,-2,-8,0,8,8,7.076923076923077,0,1,-17,21,2,-9,21,40-77,0:59442:24:-17:21:2:48:-8:0:frontier_black_collision:0:1,1
0:11,0,0,313358,4700473787566636120,40,115204,0.3676433982856669,0,43,43,0,0,frontier_black_collision,-4,-1,5,4,0,43,-2,-2,-4,-1,5,4,3.1730769230769234,0,1,-30,26,2,-26,27,40-77,0:115204:0:-30:26:2:43:-4:-1:frontier_black_collision:0:1,1
0:12,0,0,313358,4700473787566636120,40,146641,0.467966351585088,103,46,46,0,103,frontier_black_collision,3,-5,8,5,0,46,2,-2,3,-5,8,5,4.115384615384615,0,1,5,44,1,10,47,40-77,0:146641:103:5:44:1:46:3:-5:frontier_black_collision:0:1,1
