anchor_family,horizon,phi,orbit,from_anchor,to_anchor,t0,t1,gap_steps,deep_black_count,fresh_bite_count,next_status,phi_prev,phi_next,delta_phi,h_prev,h_next,bad_kind_prev,bad_kind_next
gate,1600,phi_actual_depth,2,25,26,225308,287361,62053,15099,2130,defect,0.648760079583615,0.648760079583615,0.0,45,45,frontier_black_collision,missing_black
gate,1600,phi_actual_depth,0,20,21,216215,273208,56993,14244,1494,defect,0.6364031219285881,0.648760079583615,0.012356957655026979,47,45,frontier_black_collision,frontier_black_collision
gate,1600,phi_actual_depth,12,15,16,115979,173215,57236,13469,2697,defect,0.4769304454538778,0.5562494348298314,0.07931898937595355,77,61,missing_black,frontier_black_collision
gate,1600,phi_actual_depth,0,10,11,59442,115204,55762,13094,2679,defect,0.6303131865967198,0.6613569706978392,0.03104378410111941,48,43,frontier_black_collision,frontier_black_collision
gate,1600,phi_actual_depth,8,18,19,147571,193661,46090,11097,1898,defect,0.6425518967598274,0.6550282443857736,0.012476347625946183,46,44,missing_black,frontier_black_collision
gate,1600,phi_actual_depth,1,21,22,229701,272646,42945,10893,900,defect,0.4815384334071293,0.648760079583615,0.16722164617648572,76,45,missing_black,frontier_black_collision
gate,1600,phi_actual_depth,9,11,12,52307,92713,40406,9497,1935,defect,0.6242815277111298,0.648760079583615,0.024478551872485266,49,45,frontier_black_collision,frontier_black_collision
gate,1600,phi_actual_depth,6,19,20,114552,152959,38407,9152,1786,defect,0.5562494348298314,0.648760079583615,0.09251064475378368,61,45,frontier_black_collision,missing_black
gate,1600,phi_actual_depth,21,20,21,83751,120900,37149,8741,2011,defect,0.4769304454538778,0.6425518967598274,0.16562145130594957,77,46,missing_black,frontier_black_collision
gate,1600,phi_actual_depth,1,13,14,114532,151696,37164,8711,1760,defect,0.4815384334071293,0.6425518967598274,0.16101346335269806,76,46,missing_black,missing_black
gate,1600,phi_actual_mass_104,0,20,21,216215,273208,56993,14244,1494,defect,2.3789217932315307,8.561438652353127,6.182516859121597,47,45,frontier_black_collision,frontier_black_collision
gate,1600,phi_actual_mass_104,12,15,16,115979,173215,57236,13469,2697,defect,0.4769304454538778,3.9045399615447614,3.4276095160908837,77,61,missing_black,frontier_black_collision
gate,1600,phi_actual_mass_104,0,10,11,59442,115204,55762,13094,2679,defect,4.560652513049226,8.031801011067236,3.4711484980180094,48,43,frontier_black_collision,frontier_black_collision
