idx,shard,onset,rngstate,threshold,start,kind,phase,is_gate,depth,death_step,first_bad_offset,bad_rel_x,bad_rel_y,bad_abs_x,bad_abs_y,required_black,actual_black,bad_kind,exogenous_reads_checked,verdict
0,0,313358,4700473787566636120,40,3765,pre_onset_lock,23,0,78,3843,78,1,1,-12,-11,1,0,missing_black,37,mute_early_death
0,0,313358,4700473787566636120,40,4046,pre_onset_lock,36,0,41,4087,41,-3,2,-20,-5,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,4085,pre_onset_lock,40,0,41,4126,41,1,-2,-19,-5,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,7220,pre_onset_lock,41,0,40,7260,40,-2,0,12,16,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,11643,pre_onset_lock,36,0,62,11705,62,-1,3,17,-14,1,0,missing_black,27,mute_early_death
0,0,313358,4700473787566636120,40,11757,pre_onset_lock,30,1,71,11828,71,0,-3,20,-14,1,0,missing_black,32,gate_exact_death
0,0,313358,4700473787566636120,40,13124,pre_onset_lock,41,0,40,13164,40,-2,0,20,22,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,14094,pre_onset_lock,40,0,41,14135,41,1,-2,0,17,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,15312,pre_onset_lock,41,0,40,15352,40,-2,0,-10,-14,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,15474,pre_onset_lock,41,0,40,15514,40,-2,0,-13,-19,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,15538,pre_onset_lock,30,1,47,15585,47,4,-3,-21,-14,1,0,missing_black,25,gate_exact_death
0,0,313358,4700473787566636120,40,16042,pre_onset_lock,41,0,40,16082,40,-2,0,-25,-5,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,16451,pre_onset_lock,23,0,54,16505,54,1,5,-11,14,1,0,missing_black,30,mute_early_death
0,0,313358,4700473787566636120,40,17118,pre_onset_lock,41,0,40,17158,40,-2,0,-5,19,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,18951,pre_onset_lock,40,0,41,18992,41,1,-2,22,-18,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,19077,pre_onset_lock,41,0,40,19117,40,-2,0,19,-20,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,19575,pre_onset_lock,40,0,41,19616,41,1,-2,-8,-16,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,20695,pre_onset_lock,23,0,78,20773,78,1,1,-17,-20,1,0,missing_black,37,mute_early_death
0,0,313358,4700473787566636120,40,21622,pre_onset_lock,40,0,41,21663,41,1,-2,2,-21,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,22683,pre_onset_lock,40,0,41,22724,41,1,-2,-24,4,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,23806,pre_onset_lock,41,0,40,23846,40,-2,0,27,-3,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,25531,pre_onset_lock,23,0,54,25585,54,1,5,21,28,1,0,missing_black,30,mute_early_death
0,0,313358,4700473787566636120,40,25923,pre_onset_lock,40,0,41,25964,41,1,-2,28,14,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,26449,pre_onset_lock,0,1,71,26520,71,-8,-1,26,-20,0,1,frontier_black_collision,32,gate_exact_death
0,0,313358,4700473787566636120,40,26519,pre_onset_lock,40,0,41,26560,41,1,-2,24,-20,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,27762,pre_onset_lock,40,0,41,27803,41,1,-2,32,5,1,0,missing_black,23,mute_early_death
