idx,shard,onset,rngstate,gate_anchors,anchors,evals,witnesses_so_far
0,0,313358,4700473787566636120,35,337,11121,0
1,1,307906,4692330403214779697,29,326,10758,0
2,2,302092,694356338346996168,30,321,10593,0
3,3,291397,12567324566037349410,41,322,10626,0
4,4,286748,7781527330408340496,36,312,10296,0
5,5,285796,16489936061346709332,48,323,10659,0
6,6,276143,5512003509614796496,37,303,9999,0
7,7,272174,3981815637707193797,34,296,9768,0
8,8,271114,3955567068357606463,29,290,9570,0
9,9,270625,16992346564080444118,33,294,9702,0
10,10,270401,9220737208495014129,51,312,10296,3
11,11,268891,15693941383896591225,25,284,9372,3
12,12,267843,18287853548615453633,28,285,9405,3
13,13,267828,2592558225885312534,32,290,9570,6
14,14,266260,6676073668202534420,32,289,9537,12
15,15,265407,1785944205930647325,33,289,9537,12
16,16,265277,2581380668079156450,28,284,9372,12
17,17,260282,421234894265933870,28,279,9207,12
18,18,257885,2535352621422342788,33,281,9273,12
19,19,255436,9980582288230158201,28,274,9042,12
20,20,255171,7363838155587417590,39,285,9405,12
21,21,255129,3024456195432903186,40,286,9438,15
22,22,252072,15996951898054259342,30,273,9009,15
23,23,251853,13807782660207995538,31,274,9042,15
