radius,horizon,eval_phase,observed_turn_bit,patch_hash,patch_bytes,bucket_size_at_detection,n,disc_rel_x,disc_rel_y,disc_l1,disc_linf,required_black,early_actual_black,late_actual_black,bad_kind,h_early,h_late,early_anchor_id,late_anchor_id,early_idx,late_idx,early_family,late_family,early_start,late_start,early_origin_x,early_origin_y,early_heading,late_origin_x,late_origin_y,late_heading,verified_same_local_patch,verified_prior_reads_same_verdict,verified_discriminator_outside_R
4,208,0,0,4cfd9f7427bc1d72b454734033a0213b,11,3,72,-8,-2,10,8,0,1,0,frontier_black_collision,72,77,10:gate:20,2:gate:18,10,2,gate,gate,37052,140293,-44,4,2,-67,-10,3,1,1,1
4,512,0,0,4cfd9f7427bc1d72b454734033a0213b,11,3,72,-8,-2,10,8,0,1,0,frontier_black_collision,72,77,10:gate:20,2:gate:18,10,2,gate,gate,37052,140293,-44,4,2,-67,-10,3,1,1,1
4,1600,0,0,4cfd9f7427bc1d72b454734033a0213b,11,3,72,-8,-2,10,8,0,1,0,frontier_black_collision,72,77,10:gate:20,2:gate:18,10,2,gate,gate,37052,140293,-44,4,2,-67,-10,3,1,1,1
4,208,0,0,793996369037974413c0fad197b5ffca,11,3,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,209,5:gate:4,13:gate:13,5,13,gate,gate,17941,99997,23,18,1,-59,44,3,1,1,1
4,512,0,0,793996369037974413c0fad197b5ffca,11,3,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,279,5:gate:4,13:gate:13,5,13,gate,gate,17941,99997,23,18,1,-59,44,3,1,1,1
4,1600,0,0,793996369037974413c0fad197b5ffca,11,3,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,279,5:gate:4,13:gate:13,5,13,gate,gate,17941,99997,23,18,1,-59,44,3,1,1,1
4,208,0,0,cb62d0f92c3948950c6e0b4fbc63cdd1,11,3,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,77,14:gate:17,4:gate:23,14,4,gate,gate,70396,175917,-50,-18,2,-71,-14,3,1,1,1
4,512,0,0,cb62d0f92c3948950c6e0b4fbc63cdd1,11,3,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,77,14:gate:17,4:gate:23,14,4,gate,gate,70396,175917,-50,-18,2,-71,-14,3,1,1,1
4,1600,0,0,cb62d0f92c3948950c6e0b4fbc63cdd1,11,3,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,77,14:gate:17,4:gate:23,14,4,gate,gate,70396,175917,-50,-18,2,-71,-14,3,1,1,1
4,208,0,0,40c5dab716191234e425aa06cef97bd5,11,2,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,76,14:gate:19,0:gate:16,14,0,gate,gate,80552,164882,-32,34,2,-19,57,2,1,1,1
4,512,0,0,40c5dab716191234e425aa06cef97bd5,11,2,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,76,14:gate:19,0:gate:16,14,0,gate,gate,80552,164882,-32,34,2,-19,57,2,1,1,1
4,1600,0,0,40c5dab716191234e425aa06cef97bd5,11,2,71,-8,-1,9,8,0,1,0,frontier_black_collision,71,76,14:gate:19,0:gate:16,14,0,gate,gate,80552,164882,-32,34,2,-19,57,2,1,1,1
4,208,0,0,0f6d492ce81dd73ad669f72048202422,11,2,56,-6,-4,10,6,0,1,0,frontier_black_collision,56,61,21:gate:18,6:gate:19,21,6,gate,gate,73040,114552,30,-34,0,-46,40,2,1,1,1
4,512,0,0,0f6d492ce81dd73ad669f72048202422,11,2,56,-6,-4,10,6,0,1,0,frontier_black_collision,56,61,21:gate:18,6:gate:19,21,6,gate,gate,73040,114552,30,-34,0,-46,40,2,1,1,1
4,1600,0,0,0f6d492ce81dd73ad669f72048202422,11,2,56,-6,-4,10,6,0,1,0,frontier_black_collision,56,61,21:gate:18,6:gate:19,21,6,gate,gate,73040,114552,30,-34,0,-46,40,2,1,1,1
