idx,shard,onset,rngstate,gate_anchors,anchors,evals,witnesses_so_far
0,0,313358,4700473787566636120,35,35,5775,0
1,1,307906,4692330403214779697,29,29,4785,0
2,2,302092,694356338346996168,30,30,4950,0
3,3,291397,12567324566037349410,41,41,6765,0
4,4,286748,7781527330408340496,36,36,5940,0
5,5,285796,16489936061346709332,48,48,7920,0
6,6,276143,5512003509614796496,37,37,6105,0
7,7,272174,3981815637707193797,34,34,5610,0
8,8,271114,3955567068357606463,29,29,4785,0
9,9,270625,16992346564080444118,33,33,5445,0
10,10,270401,9220737208495014129,51,51,8415,0
11,11,268891,15693941383896591225,25,25,4125,0
12,12,267843,18287853548615453633,28,28,4620,0
13,13,267828,2592558225885312534,32,32,5280,0
14,14,266260,6676073668202534420,32,32,5280,0
15,15,265407,1785944205930647325,33,33,5445,0
16,16,265277,2581380668079156450,28,28,4620,0
17,17,260282,421234894265933870,28,28,4620,0
18,18,257885,2535352621422342788,33,33,5445,0
19,19,255436,9980582288230158201,28,28,4620,0
20,20,255171,7363838155587417590,39,39,6435,0
21,21,255129,3024456195432903186,40,40,6600,0
22,22,252072,15996951898054259342,30,30,4950,0
23,23,251853,13807782660207995538,31,31,5115,0
